start_day,end_day,duration,profit,is_buying,trade_amount,returns
0,0,0,-2.9999999999999143,False,1000.0,-0.002999999999999914
2,2,0,-2.999910000000041,False,999.97,-0.0030000000000000413
3,3,0,-2.999820002700006,False,999.9400009000001,-0.0030000000000000057
5,5,0,-2.9997300080998968,False,999.9100026999731,-0.0029999999999999775
6,6,0,-2.9996400161995975,False,999.8800053998923,-0.0029999999999999207
8,8,0,-2.999550026999181,False,999.8500089997303,-0.0029999999999999897
9,9,0,-2.999460040498319,False,999.8200134994605,-0.002999999999999937
10,10,0,-2.999370056697149,False,999.7900188990556,-0.0029999999999999823
12,12,0,-2.9992800755954963,False,999.7600251984886,-0.0030000000000000304
14,14,0,-2.9991900971932672,False,999.7300323977328,-0.003000000000000069
16,16,0,-2.9991001214902777,False,999.7000404967608,-0.0029999999999999953
18,18,0,-2.999010148486669,False,999.670049495546,-0.003000000000000031
21,21,0,-2.998920178182229,False,999.6400593940612,-0.0030000000000000456
22,22,0,-2.9988302105768785,False,999.6100701922793,-0.003000000000000041
23,23,0,-2.9987402456705627,False,999.5800818901735,-0.0030000000000000426
24,24,0,-2.998650283463097,False,999.5500944877167,-0.0029999999999999467
25,25,0,-2.9985603239546754,False,999.5201079848821,-0.003000000000000029
27,27,0,-2.998470367144957,False,999.4901223816425,-0.003000000000000029
28,28,0,-2.998380413033899,False,999.4601376779711,-0.0029999999999999858
29,29,0,39.97720615495372,False,999.4301538738408,0.040000000000000084
31,31,0,-2.9994897778061786,False,999.8299259353904,-0.0030000000000000074
32,32,0,-2.9993997931129033,False,999.7999310376123,-0.0030000000000000664
35,35,0,-2.9993098111190326,False,999.7699370396812,-0.0029999999999999892
38,38,0,-2.999219831824772,False,999.7399439415698,-0.0030000000000000625
40,40,0,-2.999129855229765,False,999.7099517432515,-0.0030000000000000105
41,41,0,-2.9990398813341095,False,999.6799604446991,-0.003000000000000012
42,42,0,13.029368092509294,False,999.6499700458858,0.013033930358554628
43,43,0,-2.999340791180463,False,999.7802637268109,-0.0030000000000000304
44,44,0,39.99001081275596,False,999.750270318899,0.04
46,46,0,-3.000450511281067,False,1000.1501704270266,-0.002999999999999987
47,47,0,-3.000360497765798,False,1000.1201659219139,-0.0030000000000000564
49,49,0,-3.0002704869507797,False,1000.0901623169364,-0.0029999999999999706
50,50,0,-3.000180478836176,False,1000.0601596120669,-0.0029999999999999753
51,51,0,40.00120631229125,False,1000.0301578072784,0.04000000000000011
53,53,0,-3.0012905096112457,False,1000.4301698704013,-0.0030000000000000417
54,54,0,-3.001200470895954,False,1000.4001569653051,-0.0030000000000000387
55,55,0,-3.001110434881816,False,1000.3701449605961,-0.003000000000000028
56,56,0,-3.0010204015686757,False,1000.3401338562472,-0.002999999999999934
57,57,0,40.0124049460893,False,1000.3101236522316,0.040000000000000036
60,60,0,-3.002130743105119,False,1000.7102477016924,-0.0030000000000000417
61,61,0,-3.002040679182722,False,1000.6802263942615,-0.0029999999999999376
62,62,0,-3.0019506179624376,False,1000.6502059874696,-0.0030000000000000287
65,65,0,-3.00186055944393,False,1000.6201864812899,-0.0030000000000000603
67,67,0,-3.0017705036271094,False,1000.5901678756956,-0.0030000000000000226
69,69,0,-3.0016804505120107,False,1000.5601501706592,-0.003000000000000033
71,71,0,-3.001590400098434,False,1000.530133366154,-0.0029999999999999723
74,74,0,-3.001500352386409,False,1000.5001174621532,-0.0029999999999999493
77,77,0,-3.001410307375834,False,1000.4701024586293,-0.0029999999999999463
79,79,0,-3.001320265066623,False,1000.4400883555555,-0.0029999999999999567
80,80,0,-3.001230225458666,False,1000.4100751529049,-0.002999999999999951
81,81,0,-2.558760227817201,False,1000.3800628506503,-0.0025577881075776756
84,84,0,-3.001063425745107,False,1000.3544752483722,-0.0029999999999999905
85,85,0,-3.1617063382089605,False,1000.3244646141147,-0.0031606808091298863
89,89,0,-3.0008785426522535,False,1000.2928475507327,-0.003000000000000055
90,90,0,-3.0007885162958847,False,1000.2628387653061,-0.0029999999999999662
93,93,0,-3.000698492640449,False,1000.2328308801432,-0.0030000000000000196
95,95,0,-3.0006084716857084,False,1000.2028238952169,-0.0030000000000000577
97,97,0,-3.0005184534314524,False,1000.1728178105,-0.0029999999999999524
98,98,0,40.00571250503869,False,1000.1428126259658,0.040000000000000056
99,99,0,-3.0016286092530247,False,1000.5428697510162,-0.002999999999999976
101,101,0,-3.00153856039484,False,1000.5128534649235,-0.0030000000000000695
102,102,0,-22.867632666395778,False,1000.4828380793197,-0.022856596631178595
104,104,0,-3.0007624852580075,False,1000.2541617526557,-0.0030000000000000404
106,106,0,-3.0006724623833683,False,1000.2241541278031,-0.002999999999999959
107,107,0,-3.0005824422095695,False,1000.1941474031793,-0.0030000000000000317
