start_day,end_day,duration,profit,is_buying,trade_amount,returns
1,1,0,-2.999999999999999,False,1000.0,-0.002999999999999999
3,3,0,-2.999910000000003,False,999.97,-0.0030000000000000027
4,4,0,-2.999820002699964,False,999.9400009000001,-0.0029999999999999636
9,9,0,-2.9997300080999616,True,999.9100026999731,-0.003000000000000042
10,10,0,-2.999640016199643,False,999.8800053998923,-0.002999999999999966
12,12,0,39.99400035998931,True,999.8500089997303,0.04000000000000009
13,13,0,-3.0007498470099923,True,1000.2499490033302,-0.0030000000000000014
14,14,0,-3.000659824514596,False,1000.21994150486,-0.0030000000000000157
16,16,0,-3.0005698047198925,False,1000.1899349066148,-0.003000000000000048
19,19,0,-3.000479787625664,False,1000.1599292085676,-0.0029999999999999615
21,21,0,-3.000389773232034,False,1000.1299244106914,-0.00299999999999996
22,22,0,-3.000299761538841,False,1000.099920512959,-0.002999999999999964
23,23,0,-3.0002097525460414,False,1000.0699175153436,-0.0030000000000000105
27,27,0,40.0015966167128,False,1000.0399154178182,0.04000000000000008
28,28,0,40.017597255359476,True,1000.4399313839853,0.04000000000000006
33,33,0,-3.002520322069603,False,1000.840107356539,-0.002999999999999986
36,36,0,-3.0024302464599266,True,1000.8100821533184,-0.0029999999999999714
38,38,0,-3.002340173552626,False,1000.7800578508538,-0.0030000000000000642
40,40,0,-3.00225010334742,False,1000.7500344491183,-0.003000000000000065
42,42,0,-3.002160035844265,True,1000.7200119480849,-0.00300000000000001
43,43,0,-3.0020699710431438,False,1000.6899903477264,-0.0029999999999999645
44,44,0,-3.001979908944087,True,1000.659969648016,-0.003000000000000039
45,45,0,-3.001889849546714,True,1000.6299498489267,-0.002999999999999934
46,46,0,-3.0017997928512394,False,1000.5999309504311,-0.002999999999999946
48,48,0,-3.00170973885747,False,1000.5699129525027,-0.002999999999999962
49,49,0,-3.001619687565366,False,1000.5398958551141,-0.0030000000000000235
51,51,0,-3.0015296389747075,True,1000.5098796582383,-0.0029999999999999927
52,52,0,-3.001439593085502,True,1000.4798643618487,-0.002999999999999956
54,54,0,-3.0013495498977707,True,1000.449849965918,-0.0030000000000000165
55,55,0,-3.00125950941129,False,1000.419836470419,-0.003000000000000033
56,56,0,-3.0011694716259614,True,1000.3898238753249,-0.0029999999999999866
57,57,0,-3.0010794365417577,False,1000.3598121806084,-0.0029999999999999324
59,59,0,-3.000989404158766,False,1000.3298013862429,-0.0030000000000000374
60,60,0,-3.0008993744766483,True,1000.2997914922014,-0.0030000000000000443
61,61,0,-3.0008093474953554,False,1000.2697824984566,-0.0029999999999999858
62,62,0,-3.0007193232149953,True,1000.2397744049817,-0.00300000000000005
