max_rule_length,seed,n_trees,auc_roc,accuracy,auc_pr,f1_score,precision,recall
3.0,1.0,50.0,,0.45841784989858014,,0.36993007972999303,0.33295052300839195,0.45841784989858014
3.0,1.0,100.0,,0.45841784989858014,,0.36993007972999303,0.33295052300839195,0.45841784989858014
3.0,1.0,150.0,,0.4563894523326572,,0.36752484370539,0.3307873861963637,0.4563894523326572
3.0,1.0,200.0,,0.45841784989858014,,0.36993007972999303,0.33295052300839195,0.45841784989858014
6.0,1.0,50.0,,0.45841784989858014,,0.36993007972999303,0.33295052300839195,0.45841784989858014
6.0,1.0,100.0,,0.45233265720081134,,0.36545564343477227,0.32708827058049506,0.45233265720081134
6.0,1.0,150.0,,0.4543610547667343,,0.36781934569112607,0.3292060591523063,0.4543610547667343
6.0,1.0,200.0,,0.4543610547667343,,0.36781934569112607,0.3292060591523063,0.4543610547667343
10.0,1.0,50.0,,0.4563894523326572,,0.36752484370539,0.3307873861963637,0.4563894523326572
10.0,1.0,100.0,,0.4563894523326572,,0.36843768926102877,0.33096880120324623,0.4563894523326572
10.0,1.0,150.0,,0.45233265720081134,,0.36545564343477227,0.32708827058049506,0.45233265720081134
