max_rule_length,seed,n_trees,auc_roc,accuracy,auc_pr,f1_score,precision,recall
3.0,1.0,50.0,,0.7241379310344828,,0.6183775217316809,0.5519770005002282,0.7241379310344828
3.0,1.0,100.0,,0.7241379310344828,,0.6183775217316809,0.5519770005002282,0.7241379310344828
3.0,1.0,150.0,,0.7241379310344828,,0.6183775217316809,0.5519770005002282,0.7241379310344828
3.0,1.0,200.0,,0.7241379310344828,,0.6183775217316809,0.5519770005002282,0.7241379310344828
6.0,1.0,50.0,,0.7241379310344828,,0.6183775217316809,0.5519770005002282,0.7241379310344828
6.0,1.0,100.0,,0.7241379310344828,,0.6183775217316809,0.5519770005002282,0.7241379310344828
6.0,1.0,150.0,,0.7241379310344828,,0.6183775217316809,0.5519770005002282,0.7241379310344828
6.0,1.0,200.0,,0.7241379310344828,,0.6183775217316809,0.5519770005002282,0.7241379310344828
10.0,1.0,50.0,,0.7241379310344828,,0.6183775217316809,0.5519770005002282,0.7241379310344828
10.0,1.0,100.0,,0.7241379310344828,,0.6183775217316809,0.5519770005002282,0.7241379310344828
10.0,1.0,150.0,,0.7241379310344828,,0.6183775217316809,0.5519770005002282,0.7241379310344828
10.0,1.0,200.0,,0.7241379310344828,,0.6183775217316809,0.5519770005002282,0.7241379310344828
