max_rule_length,seed,n_trees,auc_roc,accuracy,auc_pr,f1_score,precision,recall
3.0,1.0,50.0,,0.45030425963488846,,0.33365659441212125,0.3074702582182298,0.45030425963488846
3.0,1.0,100.0,,0.4482758620689655,,0.3324079249150997,0.3049393187338427,0.4482758620689655
3.0,1.0,150.0,,0.45233265720081134,,0.33676346735270746,0.31150857654473196,0.45233265720081134
3.0,1.0,200.0,,0.4462474645030426,,0.33643451007393654,0.3067950448648141,0.4462474645030426
5.0,1.0,50.0,,0.4462474645030426,,0.3311596449689425,0.3024892140380362,0.4462474645030426
5.0,1.0,100.0,,0.4584178498985801,,0.332568953775432,0.3139732929762779,0.4584178498985801
5.0,1.0,150.0,,0.4442190669371196,,0.3261326023419651,0.2964575529369053,0.4442190669371196
5.0,1.0,200.0,,0.4442190669371196,,0.3278976413505059,0.2997259248526996,0.4442190669371196
6.0,1.0,50.0,,0.4482758620689655,,0.33423704537316484,0.30645905979594473,0.4482758620689655
6.0,1.0,100.0,,0.44421906693711966,,0.3221034047295587,0.29202880055881686,0.44421906693711966
6.0,1.0,150.0,,0.44421906693711966,,0.32805238247749186,0.29837006092295343,0.44421906693711966
6.0,1.0,200.0,,0.44016227180527384,,0.3290503069914835,0.29837024527395606,0.44016227180527384
10.0,1.0,50.0,,0.4462474645030426,,0.3311596449689425,0.3024892140380362,0.4462474645030426
10.0,1.0,100.0,,0.4503042596348884,,0.3354999933653469,0.3089435669645043,0.4503042596348884
10.0,1.0,150.0,,0.4503042596348884,,0.3335197511028877,0.3090351373983696,0.4503042596348884
10.0,1.0,200.0,,0.4563894523326572,,0.3412324378821048,0.3164575984399859,0.4563894523326572
15.0,1.0,50.0,,0.4462474645030426,,0.3311596449689425,0.3024892140380362,0.4462474645030426
15.0,1.0,100.0,,0.4503042596348884,,0.3354999933653469,0.3089435669645043,0.4503042596348884
15.0,1.0,150.0,,0.4503042596348884,,0.3335197511028877,0.3090351373983696,0.4503042596348884
15.0,1.0,200.0,,0.4563894523326572,,0.3412324378821048,0.3164575984399859,0.4563894523326572
