max_rule_length,seed,n_trees,auc_roc,accuracy,auc_pr,f1_score,precision,recall
3.0,1.0,50.0,,0.46247464503042596,,0.33050491259681036,0.3172037840106316,0.46247464503042596
3.0,1.0,100.0,,0.46247464503042596,,0.32572708359254965,0.3124382378946273,0.46247464503042596
3.0,1.0,150.0,,0.4543610547667343,,0.3280316617889234,0.3056971019095788,0.4543610547667343
3.0,1.0,200.0,,0.4543610547667343,,0.3280316617889234,0.3056971019095788,0.4543610547667343
6.0,1.0,50.0,,0.4462474645030426,,0.31668370428737075,0.28593711165807467,0.4462474645030426
6.0,1.0,100.0,,0.4482758620689655,,0.3201072328924425,0.2918329378179038,0.4482758620689655
6.0,1.0,150.0,,0.44016227180527384,,0.32174604169631327,0.2896424615604492,0.44016227180527384
6.0,1.0,200.0,,0.4421906693711968,,0.32491470375356046,0.29409148716958045,0.4421906693711968
10.0,1.0,50.0,,0.4462474645030426,,0.31668370428737075,0.28593711165807467,0.4462474645030426
10.0,1.0,100.0,,0.4482758620689655,,0.3201072328924425,0.2918329378179038,0.4482758620689655
10.0,1.0,150.0,,0.4421906693711968,,0.32491470375356046,0.29409148716958045,0.4421906693711968
10.0,1.0,200.0,,0.4421906693711968,,0.3250868889600607,0.2928581110155542,0.4421906693711968
