max_rule_length,seed,n_trees,auc_roc,accuracy,auc_pr,f1_score,precision,recall
3.0,1.0,50.0,,0.45030425963488846,,0.329787154718874,0.3040652449641407,0.45030425963488846
3.0,1.0,100.0,,0.4482758620689655,,0.33051916298761713,0.3032726443133614,0.4482758620689655
3.0,1.0,150.0,,0.4462474645030426,,0.3292856490828408,0.30078087269390513,0.4462474645030426
3.0,1.0,200.0,,0.4381338742393509,,0.32616906044897936,0.2933986826123803,0.4381338742393509
5.0,1.0,50.0,,0.4523326572008113,,0.3367634673527074,0.3115085765447319,0.4523326572008113
5.0,1.0,100.0,,0.4401622718052738,,0.3255863259434667,0.2937703694418488,0.4401622718052738
5.0,1.0,150.0,,0.4401622718052738,,0.3255863259434667,0.2937703694418488,0.4401622718052738
5.0,1.0,200.0,,0.4503042596348884,,0.3336565944121212,0.3074702582182298,0.4503042596348884
6.0,1.0,50.0,,0.4482758620689655,,0.3324079249150997,0.3049393187338427,0.4482758620689655
6.0,1.0,100.0,,0.4421906693711968,,0.3321811300067821,0.30093695963036543,0.4421906693711968
6.0,1.0,150.0,,0.44421906693711966,,0.3299116856583158,0.30011471461889677,0.44421906693711966
6.0,1.0,200.0,,0.45030425963488846,,0.33728512525326554,0.31028888722310927,0.45030425963488846
10.0,1.0,50.0,,0.4482758620689655,,0.3324079249150997,0.3049393187338427,0.4482758620689655
10.0,1.0,100.0,,0.4482758620689655,,0.339385171329175,0.3102989648891962,0.4482758620689655
10.0,1.0,150.0,,0.4442190669371196,,0.3299116856583158,0.3001147146188967,0.4442190669371196
10.0,1.0,200.0,,0.4503042596348884,,0.3372851252532655,0.3102888872231092,0.4503042596348884
15.0,1.0,50.0,,0.4482758620689655,,0.3324079249150997,0.3049393187338427,0.4482758620689655
15.0,1.0,100.0,,0.4482758620689655,,0.339385171329175,0.3102989648891962,0.4482758620689655
15.0,1.0,150.0,,0.4462474645030426,,0.3311596449689425,0.3024892140380362,0.4462474645030426
15.0,1.0,200.0,,0.4523326572008113,,0.3349057236332691,0.3100877356898174,0.4523326572008113
