max_rule_length,seed,n_trees,auc_roc,accuracy,auc_pr,f1_score,precision,recall
3.0,1.0,50.0,,0.4523326572008113,,0.3266637409991693,0.3046651878640328,0.4523326572008113
3.0,1.0,100.0,,0.4523326572008113,,0.3287903828171984,0.3067374249449621,0.4523326572008113
3.0,1.0,150.0,,0.4482758620689655,,0.3242882481276602,0.2988482904811505,0.4482758620689655
3.0,1.0,200.0,,0.4482758620689655,,0.3284072521411805,0.3030196329445389,0.4482758620689655
6.0,1.0,50.0,,0.4563894523326572,,0.331201032985678,0.312941378930732,0.4563894523326572
6.0,1.0,100.0,,0.4462474645030426,,0.3291331904572357,0.3022200460219136,0.4462474645030426
6.0,1.0,150.0,,0.4462474645030426,,0.3291331904572357,0.3022200460219136,0.4462474645030426
6.0,1.0,200.0,,0.4503042596348884,,0.3296279550781352,0.3057495891711332,0.4503042596348884
10.0,1.0,50.0,,0.4563894523326572,,0.331201032985678,0.312941378930732,0.4563894523326572
10.0,1.0,100.0,,0.4442190669371196,,0.3278976413505059,0.2997259248526996,0.4442190669371196
10.0,1.0,150.0,,0.4421906693711968,,0.3247466298115838,0.2954049546454575,0.4421906693711968
10.0,1.0,200.0,,0.4340770791075051,,0.3198668168691485,0.28636396441567713,0.4340770791075051
