max_rule_length,seed,n_trees,auc_roc,accuracy,auc_pr,f1_score,precision,recall
3.0,1.0,50.0,,0.4462474645030426,,0.3292856490828408,0.30078087269390513,0.4462474645030426
3.0,1.0,100.0,,0.4421906693711968,,0.32681929657253816,0.296034861111568,0.4421906693711968
3.0,1.0,150.0,,0.4462474645030426,,0.332974552270127,0.3040499517607602,0.4462474645030426
3.0,1.0,200.0,,0.45233265720081134,,0.33856240508801394,0.3128034049729927,0.45233265720081134
6.0,1.0,50.0,,0.4340770791075051,,0.3218874683276306,0.2873578515506686,0.4340770791075051
6.0,1.0,100.0,,0.4462474645030426,,0.3347322446916767,0.3054803447358035,0.4462474645030426
6.0,1.0,150.0,,0.44421906693711966,,0.3317124442104938,0.3017115462982889,0.44421906693711966
6.0,1.0,200.0,,0.4381338742393509,,0.32616906044897936,0.2933986826123803,0.4381338742393509
10.0,1.0,50.0,,0.43610547667342797,,0.323120474470139,0.289435849065243,0.43610547667342797
10.0,1.0,100.0,,0.45233265720081134,,0.3419912845793599,0.31507280188821774,0.45233265720081134
10.0,1.0,150.0,,0.4421906693711968,,0.330450652570328,0.2994395136740919,0.4421906693711968
10.0,1.0,200.0,,0.43610547667342797,,0.3212609662286176,0.28742602426480085,0.43610547667342797
