max_rule_length,seed,n_trees,auc_roc,accuracy,auc_pr,f1_score,precision,recall
3.0,1.0,50.0,,0.45841784989858014,,0.3346644090389864,0.31566299939311576,0.45841784989858014
3.0,1.0,100.0,,0.4462474645030426,,0.3292856490828408,0.30078087269390513,0.4462474645030426
3.0,1.0,150.0,,0.4563894523326572,,0.34111900979031523,0.31807783435562126,0.4563894523326572
3.0,1.0,200.0,,0.45233265720081134,,0.3349057236332691,0.31008773568981746,0.45233265720081134
6.0,1.0,50.0,,0.45030425963488846,,0.3317529920030819,0.3058512193971414,0.45030425963488846
6.0,1.0,100.0,,0.44421906693711966,,0.3334565014666427,0.30317750442352004,0.44421906693711966
6.0,1.0,150.0,,0.4482758620689655,,0.3324079249150997,0.3049393187338427,0.4482758620689655
6.0,1.0,200.0,,0.46247464503042596,,0.34496016814359404,0.32669151060584617,0.46247464503042596
10.0,1.0,50.0,,0.4523326572008113,,0.3349057236332691,0.3100877356898174,0.4523326572008113
10.0,1.0,100.0,,0.4421906693711968,,0.330450652570328,0.2994395136740919,0.4421906693711968
10.0,1.0,150.0,,0.4462474645030426,,0.3311596449689425,0.3024892140380362,0.4462474645030426
10.0,1.0,200.0,,0.4543610547667343,,0.3398403417617512,0.31539791989097243,0.4543610547667343
