Feature,Score,Importance
Phase,[0.2968822  0.36163372 0.40644671],0.3549875453512057
Price_normalized,[0.00327766 0.00296187 0.00032543],0.0021883166113812746
Volume,[0. 0. 0.],0.0
3_reg,[0. 0. 0.],0.0
5_reg,[0. 0. 0.],0.0
10_reg,[0. 0. 0.],0.0
20_reg,[0. 0. 0.],0.0
