feature,importance
Volume,4.228197316892464e-07
20_reg,3.0508728873047544e-07
price_normalized,2.0720472112456885e-07
3_reg,1.8394050101971504e-07
10_reg,1.6934712881354947e-07
5_reg,7.50734529444977e-08
