feature,Importance
20_reg,1.3977053389943795e-06
5_reg,1.0829114945307013e-06
Price_normalized,7.087858266437315e-07
3_reg,5.160529642574682e-07
Volume,3.587147220154144e-07
10_reg,3.380529945591335e-07
Phase,2.625822189146465e-07
