Feature,Score,MeanScore
price_normalized,[0.1555927  0.04064978 0.13937464],0.11187237125587464
3_reg,[0.0011392  0.00336455 0.00449639],0.00300004431717178
Volume,[0. 0. 0.],0.0
5_reg,[0. 0. 0.],0.0
10_reg,[0. 0. 0.],0.0
20_reg,[0. 0. 0.],0.0
