Open time,Volume,price_normalized,3_reg,5_reg,10_reg,20_reg,phase,class
1502928000000,1503014399999,0.2962936940101879,0.0,0.0,0.0,0.0,3,0
1503014400000,1503100799999,0.3919121894858457,0.0,0.0,0.0,0.0,4,-1
1503100800000,1503187199999,0.8664136962562369,0.2850600011230245,0.0,0.0,0.0,3,1
1503187200000,1503273599999,0.3007396615488068,-0.0455862639685193,0.0,0.0,0.0,3,0
1503273600000,1503359999999,0.5014194293412889,-0.182497133457474,0.0319078942725162,0.0,0.0,4,-1
1503360000000,1503446399999,0.9080332567180276,0.3036467975846103,0.0667247867549414,0.0,0.0,3,0
1503446400000,1503532799999,0.3974435314199525,-0.0519879489606681,-0.0330646734503348,0.0,0.0,3,0
1503532800000,1503619199999,0.8058045836676315,-0.0511143365251981,0.0906153946316312,0.0,0.0,6,1
1503619200000,1503705599999,0.1608293368212017,-0.1183070972993753,-0.0783408858090571,0.0,0.0,1,-1
1503705600000,1503791999999,0.8087845268128574,0.0014899715726126,-0.0435111654409092,0.0205364690946585,0.0,6,1
1503792000000,1503878399999,0.2137864756246745,0.0264785694017365,-0.036433416844533,-0.0139607363443107,0.0,1,-1
1503878400000,1503964799999,0.9523031095611736,0.0717592913741577,0.0345954190590556,-0.0008005624352088,0.0,2,0
1503964800000,1504051199999,0.8771373679154634,0.3316754461453943,0.1576134644936839,0.0331004785012401,0.0,6,1
1504051200000,1504137599999,0.600993520518359,-0.1756547945214072,0.024776887970179,0.0140975415487549,0.0,1,-1
1504137600000,1504223999999,0.8921063695606487,0.0074845008225924,0.1005330198829133,0.0207126977426868,0.0,2,0
1504224000000,1504310399999,0.7804656002080881,0.0897360398448646,-0.0328706017060987,0.0436103466428754,0.0,6,1
1504310400000,1504396799999,0.2840170468481734,-0.3040446613562375,-0.1006768562444851,0.0069359431461053,0.0,1,-1
1504396800000,1504483199999,0.5060874576759596,-0.1371890712660643,-0.0797901448397274,0.0109734077785359,0.0,6,1
1504483200000,1504569599999,0.2299181952502784,-0.0270494257989474,-0.159875449115287,-0.0394183204687821,0.0,1,-1
1504569600000,1504655999999,0.865622059207021,0.1797673007655305,0.011621406639997,-0.0127757205423986,0.0067128996045119,2,0
1504656000000,1504742399999,0.8684411342755121,0.3192614695126168,0.1528382776385738,-0.0263348294174814,0.0062935965282299,2,0
1504742400000,1504828799999,0.723230593607305,-0.0711957327998579,0.1072809210887924,-0.0065152789593159,0.0044492507840999,6,1
1504828800000,1504915199999,0.3593550944144044,-0.2545430199305538,0.0116482332728535,-0.0087778958886121,0.0044005895131054,7,0
1504915200000,1505001599999,0.3932238935493209,-0.1650033500289922,-0.1453882371176508,-0.0213265648309495,-0.0033334329169934,7,0
1505001600000,1505087999999,0.6833402489626553,0.1619925772741254,-0.0700208470683698,0.0038752376941268,-0.0038933821046154,1,-1
1505088000000,1505174399999,0.4651834239130443,0.0359797651818617,-0.0192109184840271,0.0122653575093325,-0.0014232041796612,6,1
1505174400000,1505260799999,0.3474377455552731,-0.1679512517036911,0.004812483264546,-0.015041982309334,-0.0080311108069231,7,0
1505260800000,1505347199999,0.4555972174256253,-0.0047931032437095,-0.0211155855654773,-0.0224137562581544,-0.0065708793631568,7,0
1505347200000,1505433599999,0.0288571877227099,-0.1592902789162814,-0.1318552328967311,-0.0708615403494479,-0.0208641261266436,1,-1
1505433600000,1505519999999,0.8498556304138595,0.1971292064941168,0.0450763855169066,-0.0297102304843799,-0.0129994979283607,2,0
1505520000000,1505606399999,0.5096382525973211,0.2403905324373056,0.0718659427072329,-0.0067371855708823,-0.0194515851140388,6,1
1505606400000,1505692799999,0.8064930374413088,-0.0216812964862754,0.1182572704905978,0.0270963616432334,-0.0104469905923808,1,-1
