Open time,Volume,price_normalized,20_reg,class
1502928000000,1503014399999,0.2962936940101879,0.0,0
1503014400000,1503100799999,0.3919121894858457,0.0,-1
1503100800000,1503187199999,0.8664136962562369,0.0,1
1503187200000,1503273599999,0.3007396615488068,0.0,0
1503273600000,1503359999999,0.5014194293412889,0.0,-1
1503360000000,1503446399999,0.9080332567180276,0.0,0
1503446400000,1503532799999,0.3974435314199525,0.0,0
1503532800000,1503619199999,0.8058045836676315,0.0,1
1503619200000,1503705599999,0.1608293368212017,0.0,-1
1503705600000,1503791999999,0.8087845268128574,0.0,1
1503792000000,1503878399999,0.2137864756246745,0.0,-1
1503878400000,1503964799999,0.9523031095611736,0.0,0
1503964800000,1504051199999,0.8771373679154634,0.0,1
1504051200000,1504137599999,0.600993520518359,0.0,-1
1504137600000,1504223999999,0.8921063695606487,0.0,0
1504224000000,1504310399999,0.7804656002080881,0.0,1
1504310400000,1504396799999,0.2840170468481734,0.0,-1
1504396800000,1504483199999,0.5060874576759596,0.0,1
1504483200000,1504569599999,0.2299181952502784,0.0,-1
1504569600000,1504655999999,0.865622059207021,0.0067128996045119,0
1504656000000,1504742399999,0.8684411342755121,0.0062935965282299,0
1504742400000,1504828799999,0.723230593607305,0.0044492507840999,1
1504828800000,1504915199999,0.3593550944144044,0.0044005895131054,0
1504915200000,1505001599999,0.3932238935493209,-0.0033334329169934,0
1505001600000,1505087999999,0.6833402489626553,-0.0038933821046154,-1
1505088000000,1505174399999,0.4651834239130443,-0.0014232041796612,1
1505174400000,1505260799999,0.3474377455552731,-0.0080311108069231,0
1505260800000,1505347199999,0.4555972174256253,-0.0065708793631568,0
1505347200000,1505433599999,0.0288571877227099,-0.0208641261266436,-1
1505433600000,1505519999999,0.8498556304138595,-0.0129994979283607,0
1505520000000,1505606399999,0.5096382525973211,-0.0194515851140388,1
1505606400000,1505692799999,0.8064930374413088,-0.0104469905923808,-1
1505692800000,1505779199999,0.796421975992614,-0.0025538326104562,1
1505779200000,1505865599999,0.3054504747934846,-0.0059133426994165,0
1505865600000,1505951999999,0.353857041755131,-0.0035403861014527,0
1505952000000,1506038399999,0.1253352769679294,-0.0053853776476614,0
1506038400000,1506124799999,0.3694825117610954,-0.0105960545419963,-1
1506124800000,1506211199999,0.8644086335131981,-0.0053585028567465,1
1506211200000,1506297599999,0.2228069126352918,-0.0141860861784847,-1
1506297600000,1506383999999,0.818750383223987,-0.0044520682599923,1
1506384000000,1506470399999,0.2544509216952877,-0.0026644757855907,-1
1506470400000,1506556799999,0.8490175801447786,0.0062474216374337,1
1506556800000,1506643199999,0.3693467336683417,0.0023723224144595,-1
1506643200000,1506729599999,0.71406124739458,0.0039414617359394,0
1506729600000,1506815999999,0.993840429929724,0.0136057688951315,1
1506816000000,1506902399999,0.8315713599231092,0.0170404474692847,-1
1506902400000,1506988799999,0.0991915885532906,0.0076024562888817,1
1506988800000,1507075199999,0.4509126444002371,0.0052701352471052,0
1507075200000,1507161599999,0.2882683982683989,-0.0061166310234045,-1
1507161600000,1507247999999,0.7446122448979604,0.0015888417747957,0
1507248000000,1507334399999,0.616,0.0022434041848931,0
1507334400000,1507420799999,0.6615550497184609,0.0080759913555688,0
1507420800000,1507507199999,0.9227467811158798,0.0176988240763003,0
1507507200000,1507593599999,0.6969527619271726,0.0161538842406304,1
1507593600000,1507679999999,0.3667370530761258,0.0100671661070338,-1
1507680000000,1507766399999,0.6493211351319883,0.0043897566019244,0
1507766400000,1507852799999,0.9841385770763544,0.0065624610902522,0
1507852800000,1507939199999,0.5792893444556418,0.0098419332525425,0
1507939200000,1508025599999,0.9062158192443508,0.008089980949167,1
1508025600000,1508111999999,0.5935016944609308,0.0102526351858362,-1
1508112000000,1508198399999,0.8581877086196771,0.0076252465311066,1
1508198400000,1508284799999,0.3242725736812467,0.0058505185453698,0
1508284800000,1508371199999,0.8495833706657118,0.0047955705443147,-1
1508371200000,1508457599999,0.8812232638572841,0.0089133214040838,0
1508457600000,1508543999999,0.8039411764705887,0.0160932370307442,0
1508544000000,1508630399999,0.5450353615602715,0.0172979177352116,1
1508630400000,1508716799999,0.6765008677236242,0.0092476671728092,0
1508716800000,1508803199999,0.6425256552715872,0.0053974125336072,0
1508803200000,1508889599999,0.0569052631578942,-0.0096750546173778,-1
1508889600000,1508975999999,0.9641848892291492,-0.0042330406068624,0
1508976000000,1509062399999,0.7302665609158957,-0.0044936210846713,1
1509062400000,1509148799999,0.3615612528721734,-0.0094739594050177,0
1509148800000,1509235199999,0.4073366971225978,-0.0092251643465698,-1
1509235200000,1509321599999,0.9632753243397852,-0.0038245048654525,1
1509321600000,1509407999999,0.4138467166636175,-0.0118872427952708,-1
1509408000000,1509494399999,0.9120373859953262,-0.0084419588353894,0
1509494400000,1509580799999,0.9526165120806126,0.000474556082932,0
1509580800000,1509667199999,0.5446088794925994,-0.0027825641673296,0
1509667200000,1509753599999,0.4536306514858031,-0.0021252253436365,0
1509753600000,1509839999999,0.7863756271659862,-0.0009713991116812,1
1509840000000,1509926399999,0.2120296886546922,-0.0041332979923508,0
1509926400000,1510012799999,0.1093333333333331,-0.0162208604406014,-1
1510012800000,1510099199999,0.5480520353625334,-0.0134234149520668,0
1510099200000,1510185599999,0.5826526782363137,-0.0091786667250126,1
1510185600000,1510271999999,0.1723872679045087,-0.0115661180920808,0
