Open time,macd,rsi,bollinger_hband,stoch,phase,class
1502928000000,169.2474984742614,52.52368760108733,25449.572739417086,54.36003370649183,4,0
1503014400000,169.2474984742614,52.52368760108733,25449.572739417086,54.36003370649183,4,-1
1503100800000,169.2474984742614,52.52368760108733,25449.572739417086,54.36003370649183,4,1
1503187200000,169.2474984742614,52.52368760108733,25449.572739417086,54.36003370649183,4,0
1503273600000,169.2474984742614,52.52368760108733,25449.572739417086,54.36003370649183,4,-1
1503360000000,169.2474984742614,52.52368760108733,25449.572739417086,54.36003370649183,4,0
1503446400000,169.2474984742614,52.52368760108733,25449.572739417086,54.36003370649183,4,0
1503532800000,169.2474984742614,52.52368760108733,25449.572739417086,54.36003370649183,4,1
1503619200000,169.2474984742614,52.52368760108733,25449.572739417086,54.36003370649183,4,-1
1503705600000,169.2474984742614,52.52368760108733,25449.572739417086,54.36003370649183,4,1
1503792000000,169.2474984742614,52.52368760108733,25449.572739417086,54.36003370649183,4,-1
1503878400000,169.2474984742614,52.52368760108733,25449.572739417086,54.36003370649183,4,0
1503964800000,169.2474984742614,52.52368760108733,25449.572739417086,54.36003370649183,4,1
1504051200000,169.2474984742614,69.94164204792357,25449.572739417086,92.59565053586743,4,-1
1504137600000,169.2474984742614,76.10633327400058,25449.572739417086,98.47408244265732,4,0
1504224000000,169.2474984742614,79.09840527696572,25449.572739417086,96.59116152266836,4,1
1504310400000,169.2474984742614,54.75204706329225,25449.572739417086,69.65611782820838,4,-1
1504396800000,169.2474984742614,56.22944847056812,25449.572739417086,72.05608144543561,4,1
1504483200000,169.2474984742614,40.47336873981056,25449.572739417086,45.48561256245167,4,-1
1504569600000,169.2474984742614,50.25094891080444,4779.4382789925485,57.13783219452327,4,0
1504656000000,169.2474984742614,57.414561210268666,4813.007770682619,76.09471706868041,4,0
1504742400000,169.2474984742614,59.20859949082203,4852.0742752046535,81.47119795837419,4,1
1504828800000,169.2474984742614,47.05919606655372,4849.145062599115,50.87599817391242,4,0
1504915200000,169.2474984742614,46.456757892522695,4841.753414643079,49.08059482558623,4,0
1505001600000,169.2474984742614,43.26342900130769,4830.9664079242775,39.468189404201496,2,-1
1505088000000,-3.692359504897468,45.70726410837564,4817.469552954914,45.313166540686616,2,1
1505174400000,-18.310134045488667,44.52387263544578,4813.485633380384,41.96409193303351,2,0
1505260800000,-47.02662254258394,39.17732722404629,4841.094034533931,25.57196207126233,2,0
1505347200000,-129.27074746147537,27.090532790539385,5025.389172220049,1.3466286371374068,2,-1
1505433600000,-151.47191943540565,40.46571930454754,5046.593797049457,41.60796158685133,2,0
1505520000000,-165.94723172910653,40.80785780995781,5059.476266297485,45.54445904067275,2,1
1505606400000,-176.59054213893978,40.55668514209071,5061.212844377345,44.785680592821,2,-1
1505692800000,-156.19164810517395,48.23996984296487,5021.786273505587,61.778057304003376,2,1
1505779200000,-148.39876362737823,45.85882117350136,4983.369135335545,55.43951835827935,2,0
1505865600000,-141.4029850350612,45.66380787201889,4909.68002839285,54.9302846940794,2,0
1505952000000,-157.4452327472336,40.328957018261576,4810.598081134748,41.336224646708935,2,0
1506038400000,-169.3460794419875,40.08341755181332,4771.403868138694,48.388439507461385,2,-1
1506124800000,-162.05180173056124,44.8029074359221,4708.618194410436,61.04247618202447,2,1
1506211200000,-164.0612217375001,42.45620417587939,4699.331412170749,53.43720485043642,2,-1
1506297600000,-142.96693574022993,48.73968223787526,4654.392605638192,69.96431265411165,2,1
1506384000000,-127.87406852595586,47.90992323182332,4547.203549049162,79.00962636645454,2,-1
1506470400000,-89.810721636984,54.63793732716007,4430.449344887022,96.02635141736572,2,1
1506556800000,-60.44131057996083,54.18905908069068,4411.160918119835,91.53742414025623,2,-1
1506643200000,-36.7271416825206,54.19322135377463,4396.152800988153,84.89039477174616,2,0
1506729600000,-1.469976401819622,58.54454080809203,4442.845626120774,99.8308701673137,2,1
1506816000000,26.167517495046923,58.543659292044566,4475.346745814359,96.88779870583916,2,-1
1506902400000,47.64387291287676,58.5776911091292,4513.074193530169,82.80149231118854,2,1
1506988800000,58.343081597354285,56.2861134958839,4555.973573750231,76.17320657525944,2,0
1507075200000,57.97108747154744,53.04837455449202,4517.202949752827,66.57071433982274,2,-1
1507161600000,63.707091077008045,55.33584182993051,4547.059939554024,74.50950685554126,2,0
1507248000000,73.58325240804425,57.37818294003371,4583.564225240896,81.09097691220354,2,0
1507334400000,84.79012236930521,58.80870439195925,4619.917527143483,85.23437749635198,2,0
1507420800000,109.91470570226738,64.0328901707329,4702.136371125797,98.20772470651492,2,0
1507507200000,140.06912619729792,67.0779419161255,4807.149201091118,90.09260238669911,2,1
1507593600000,161.78784167121285,66.91643666892281,4894.814406438501,83.72501586659189,2,-1
1507680000000,180.02104790665908,67.74148272136915,4951.334336530887,86.25283980991877,2,0
1507766400000,240.8016961206804,77.37769234347725,5146.136105057985,99.32862000833346,2,0
1507852800000,303.22594533541724,79.73426842121364,5377.408419958901,88.69983930145085,2,0
1507939200000,366.2289218388678,81.77867987421584,5606.605033870126,98.32346368715082,2,1
1508025600000,398.6531464858581,75.79065079871992,5767.475212375857,88.2850521436848,2,-1
1508112000000,423.50468264534175,76.37321479594762,5904.424402154767,91.04563262153069,2,1
1508198400000,424.985006614791,70.35910188945164,6003.523707717908,81.94007614633338,2,0
1508284800000,414.6853743217416,67.48279196844715,6071.085524641904,77.36357115267893,2,-1
1508371200000,415.5981367779368,70.20088131485625,6151.051152257725,85.37692449242468,2,0
1508457600000,437.591575890021,74.54881594791476,6286.879384680191,94.4370883033648,2,0
1508544000000,451.0294945574378,74.7309622884609,6402.798506146683,91.63631156930128,2,1
1508630400000,450.4389237748446,71.95263201721343,6484.397531091007,86.36767427513884,2,0
1508716800000,442.12358856027913,70.66576867101413,6534.860705992402,82.88591729792475,2,0
1508803200000,395.5583135225388,56.624317618838326,6502.081961656693,52.50034223134837,2,-1
1508889600000,371.55602323915264,60.70435775106132,6477.34396480911,64.65344934011345,2,0
1508976000000,362.2198012423214,63.67267791912985,6456.682385766194,72.7081770442611,2,1
1509062400000,343.36321932181545,60.988394874198974,6401.236864199322,64.5055381492432,2,0
1509148800000,320.7525842636205,59.557298052590944,6348.956294383233,60.16415868673055,2,-1
1509235200000,335.3069575455056,67.15581288600478,6357.540652670756,98.27246447266756,2,1
1509321600000,338.9416721390562,65.69532858563585,6318.204691557018,89.41299876933748,2,-1
1509408000000,365.2487371666066,70.48088256684936,6317.646598655767,97.60215333616426,2,0
1509494400000,404.9093865509658,73.82207454052805,6498.1045635746905,98.60925327185096,2,0
1509580800000,452.5875661364207,76.44662206885853,6730.445719595601,86.08955698403392,2,0
1509667200000,492.3677060835853,77.32166864211302,6941.234641580816,88.76835521715483,2,0
1509753600000,537.2322863147419,79.41842747776508,7179.963724054454,94.3528060491976,2,1
1509840000000,565.2966464808642,79.02573511022334,7374.54144423132,89.35252923018145,2,0
1509926400000,550.1387902408651,67.5628595912844,7457.702359177945,72.64193950340169,2,-1
1510012800000,540.2835035543585,68.87558364144863,7536.148417451386,77.15378570467205,2,0
1510099200000,545.4673843150249,71.71065816657101,7651.18821373317,78.17653353520342,2,1
1510185600000,525.5227053176541,65.69631651830178,7724.062651085971,67.75545680119998,2,0
1510272000000,458.1974701451527,53.32171917152421,7732.528074994858,40.97916345403481,2,0
1510358400000,379.33345432458736,48.7970069171719,7728.6458335087555,28.13558842795274,2,0
1510444800000,278.5998413104744,42.379686228861225,7734.097246320863,19.878037308640845,2,-1
1510531200000,248.7500893329161,52.52595790697986,7693.557551735019,46.66565780917049,2,0
1510617600000,231.2239293581015,53.97836809417841,7669.648155182112,51.12371728540985,2,0
1510704000000,267.9115940005331,61.6814968217938,7720.918205085624,78.32483302726779,2,0
1510790400000,343.41524471468347,67.22796571697569,7868.103561232227,97.11279966653792,2,1
1510876800000,385.46984006377807,64.56362921549588,7931.133326702818,89.1212054099302,2,-1
1510963200000,419.0314764191799,65.12857668322198,8030.77378270028,91.47669473233756,2,0
1511049600000,462.5727986187767,67.57752400525695,8159.052480092319,96.95690708828008,2,0
1511136000000,505.2952271384757,69.05276207513424,8324.687712356092,96.3942997949903,2,1
1511222400000,525.6307454699954,67.29984955977713,8455.263734499844,90.87834431981894,2,-1
1511308800000,542.4661430748038,68.11423488369263,8586.360138374364,93.68843475913744,2,1
1511395200000,534.6422962629031,64.39784175830336,8671.123714253716,87.64191103060496,2,-1
1511481600000,531.8336151850563,65.67784860454157,8758.56400612172,91.47964708828322,2,0
1511568000000,568.4050061903326,71.02133031335958,8945.954806171203,98.98028312760096,2,0
1511654400000,624.7235033461429,74.30254398204215,9211.687486331131,93.91837282637584,4,0
1511740800000,703.3677560654132,77.62929546891708,9564.305193058508,99.87197932525925,4,0
1511827200000,776.6557859045524,79.01274058525334,9922.044421633658,98.74517173603408,4,1
1511913600000,808.5584214092378,74.79596960433348,10181.920798123838,61.8338411422267,4,-1
1512000000000,836.3909885834601,75.80169513518177,10403.699884659174,62.32442760886323,4,0
1512086400000,923.9728461862431,80.92395234194846,10757.42070271554,86.66745744617755,4,0
1512172800000,990.5987135823124,81.40451258518377,10983.092456123262,88.76565197139489,4,0
1512259200000,1053.478823780575,82.61801980203535,11276.168314482187,83.60859840954275,4,0
1512345600000,1123.731345174876,84.27741395114457,11594.103459141388,93.88667992047714,4,0
1512432000000,1175.618063131382,84.73647380130457,11928.68136867975,96.17761678740943,4,0
1512518400000,1350.4558271926726,89.69239288521312,12721.962595988114,98.8694293202526,4,0
1512604800000,1715.2682539963334,93.46071912496976,14300.468252470622,99.42090645866573,4,1
1512691200000,1924.1866139821504,85.52063964574447,15282.719402044091,85.46361542908987,4,0
1512777600000,1968.3055955780765,73.9962527149956,15823.477408420624,70.65143425611312,4,-1
1512864000000,1999.8981242292664,74.72715404242355,16330.256285500098,73.45984278623233,4,0
1512950400000,2136.513716486133,79.10441380214132,17091.995289350474,90.14491620111733,4,1
1513036800000,2200.21683045962,77.07751917477229,17669.684133017934,87.4859217877095,4,0
1513123200000,2199.7891638524125,74.34735802876318,18054.063638040152,83.331283645814,4,-1
1513209600000,2198.45171378862,75.24683255531626,18391.23721085588,85.97008652657603,4,0
1513296000000,2268.463663581504,78.49054875440595,18896.01933227805,93.97717260712858,4,0
1513382400000,2422.1350924667368,81.8186830894323,19641.813804198697,95.17269609470074,4,1
1513468800000,2495.5743590581096,79.75536231649002,20220.31963669918,89.56659567751659,4,0
1513555200000,2524.3719114125142,79.72172242586717,20684.59717372085,88.71476469883847,4,0
1513641600000,2393.6381201071326,67.10100961699297,20748.71377703968,69.21862512449128,4,0
