Open time,price_normalized,5_reg,20_reg,phase,class
1502928000000,0.2962936940101879,0.0,0.0,3,0
1503014400000,0.3919121894858457,0.0,0.0,4,-1
1503100800000,0.8664136962562369,0.0,0.0,3,1
1503187200000,0.3007396615488068,0.0,0.0,3,0
1503273600000,0.5014194293412889,0.0319078942725162,0.0,4,-1
1503360000000,0.9080332567180276,0.0667247867549414,0.0,3,0
1503446400000,0.3974435314199525,-0.0330646734503348,0.0,3,0
1503532800000,0.8058045836676315,0.0906153946316312,0.0,6,1
1503619200000,0.1608293368212017,-0.0783408858090571,0.0,1,-1
1503705600000,0.8087845268128574,-0.0435111654409092,0.0,6,1
1503792000000,0.2137864756246745,-0.036433416844533,0.0,1,-1
1503878400000,0.9523031095611736,0.0345954190590556,0.0,2,0
1503964800000,0.8771373679154634,0.1576134644936839,0.0,6,1
1504051200000,0.600993520518359,0.024776887970179,0.0,1,-1
1504137600000,0.8921063695606487,0.1005330198829133,0.0,2,0
1504224000000,0.7804656002080881,-0.0328706017060987,0.0,6,1
1504310400000,0.2840170468481734,-0.1006768562444851,0.0,1,-1
1504396800000,0.5060874576759596,-0.0797901448397274,0.0,6,1
1504483200000,0.2299181952502784,-0.159875449115287,0.0,1,-1
1504569600000,0.865622059207021,0.011621406639997,0.0067128996045119,2,0
1504656000000,0.8684411342755121,0.1528382776385738,0.0062935965282299,2,0
1504742400000,0.723230593607305,0.1072809210887924,0.0044492507840999,6,1
1504828800000,0.3593550944144044,0.0116482332728535,0.0044005895131054,7,0
1504915200000,0.3932238935493209,-0.1453882371176508,-0.0033334329169934,7,0
1505001600000,0.6833402489626553,-0.0700208470683698,-0.0038933821046154,1,-1
1505088000000,0.4651834239130443,-0.0192109184840271,-0.0014232041796612,6,1
1505174400000,0.3474377455552731,0.004812483264546,-0.0080311108069231,7,0
1505260800000,0.4555972174256253,-0.0211155855654773,-0.0065708793631568,7,0
1505347200000,0.0288571877227099,-0.1318552328967311,-0.0208641261266436,1,-1
1505433600000,0.8498556304138595,0.0450763855169066,-0.0129994979283607,2,0
1505520000000,0.5096382525973211,0.0718659427072329,-0.0194515851140388,6,1
1505606400000,0.8064930374413088,0.1182572704905978,-0.0104469905923808,1,-1
1505692800000,0.796421975992614,0.1491766983567257,-0.0025538326104562,6,1
1505779200000,0.3054504747934846,-0.0802026587845457,-0.0059133426994165,7,0
1505865600000,0.353857041755131,-0.0812604984332204,-0.0035403861014527,7,0
1505952000000,0.1253352769679294,-0.1804880455184244,-0.0053853776476614,7,0
1506038400000,0.3694825117610954,-0.1033994126288593,-0.0105960545419963,1,-1
1506124800000,0.8644086335131981,0.1133541787445391,-0.0053585028567465,6,1
1506211200000,0.2228069126352918,0.047697309830559,-0.0141860861784847,1,-1
1506297600000,0.818750383223987,0.1240154613386311,-0.0044520682599923,6,1
1506384000000,0.2544509216952877,-0.0275721430420827,-0.0026644757855907,1,-1
1506470400000,0.8490175801447786,8.61902323156256e-05,0.0062474216374337,6,1
1506556800000,0.3693467336683417,0.0323346838986891,0.0023723224144595,1,-1
1506643200000,0.71406124739458,-0.009448245968576,0.0039414617359394,2,0
1506729600000,0.993840429929724,0.1343822683718673,0.0136057688951315,6,1
1506816000000,0.8315713599231092,0.0589601255818042,0.0170404474692847,1,-1
1506902400000,0.0991915885532906,-0.0422800177701573,0.0076024562888817,6,1
1506988800000,0.4509126444002371,-0.142094604736512,0.0052701352471052,7,0
1507075200000,0.2882683982683989,-0.1791802778845522,-0.0061166310234045,1,-1
1507161600000,0.7446122448979604,0.001515857966481,0.0015888417747957,2,0
1507248000000,0.616,0.1327316423391141,0.0022434041848931,2,0
1507334400000,0.6615550497184609,0.0749016412368048,0.0080759913555688,2,0
1507420800000,0.9227467811158798,0.1185899570515462,0.0176988240763003,2,0
