Open time,Taker buy base asset volume,macd,rsi,stoch,class
1502928000000,616.248541,169.12840564080716,52.52874589532705,54.39324165471406,0
1503014400000,972.86871,169.12840564080716,52.52874589532705,54.39324165471406,-1
1503100800000,274.336042,169.12840564080716,52.52874589532705,54.39324165471406,1
1503187200000,376.795947,169.12840564080716,52.52874589532705,54.39324165471406,0
1503273600000,557.356107,169.12840564080716,52.52874589532705,54.39324165471406,-1
1503360000000,423.995181,169.12840564080716,52.52874589532705,54.39324165471406,0
1503446400000,309.419092,169.12840564080716,52.52874589532705,54.39324165471406,0
1503532800000,206.820412,169.12840564080716,52.52874589532705,54.39324165471406,1
1503619200000,100.097974,169.12840564080716,52.52874589532705,54.39324165471406,-1
1503705600000,56.190141,169.12840564080716,52.52874589532705,54.39324165471406,1
1503792000000,101.651358,169.12840564080716,52.52874589532705,54.39324165471406,-1
1503878400000,142.787782,169.12840564080716,52.52874589532705,54.39324165471406,0
1503964800000,143.442567,169.12840564080716,52.52874589532705,54.39324165471406,1
1504051200000,196.062252,169.12840564080716,69.94164204792357,92.59565053586743,-1
1504137600000,131.947325,169.12840564080716,76.10633327400058,98.47408244265732,0
1504224000000,118.660103,169.12840564080716,79.09840527696572,96.59116152266836,1
1504310400000,379.199863,169.12840564080716,54.75204706329225,69.65611782820838,-1
1504396800000,258.934536,169.12840564080716,56.22944847056812,72.05608144543561,1
1504483200000,578.600851,169.12840564080716,40.47336873981056,45.48561256245167,-1
1504569600000,533.476065,169.12840564080716,50.25094891080444,57.13783219452327,0
1504656000000,422.923063,169.12840564080716,57.414561210268666,76.09471706868041,0
1504742400000,240.683949,169.12840564080716,59.20859949082203,81.47119795837419,1
1504828800000,465.962119,169.12840564080716,47.05919606655372,50.87599817391242,0
1504915200000,287.989805,169.12840564080716,46.456757892522695,49.08059482558623,0
1505001600000,291.786887,169.12840564080716,43.26342900130769,39.468189404201496,-1
1505088000000,322.19833,-3.692359504897468,45.70726410837564,45.313166540686616,1
1505174400000,451.78067,-18.310134045488667,44.52387263544578,41.96409193303351,0
1505260800000,363.053413,-47.02662254258394,39.17732722404629,25.57196207126233,0
1505347200000,761.153976,-129.27074746147537,27.090532790539385,1.3466286371374068,-1
1505433600000,966.122245,-151.47191943540565,40.46571930454754,41.60796158685133,0
1505520000000,624.887842,-165.94723172910653,40.80785780995781,45.54445904067275,1
1505606400000,273.931976,-176.59054213893978,40.55668514209071,44.785680592821,-1
1505692800000,417.638722,-156.19164810517395,48.23996984296487,61.778057304003376,1
1505779200000,257.320352,-148.39876362737823,45.85882117350136,55.43951835827935,0
1505865600000,395.275138,-141.4029850350612,45.66380787201889,54.9302846940794,0
1505952000000,517.258926,-157.4452327472336,40.328957018261576,41.336224646708935,0
1506038400000,511.059869,-169.3460794419875,40.08341755181332,48.388439507461385,-1
1506124800000,431.94671,-162.05180173056124,44.8029074359221,61.04247618202447,1
1506211200000,290.93917,-164.0612217375001,42.45620417587939,53.43720485043642,-1
1506297600000,298.839159,-142.96693574022993,48.73968223787526,69.96431265411165,1
1506384000000,225.570283,-127.87406852595586,47.90992323182332,79.00962636645454,-1
1506470400000,348.083641,-89.810721636984,54.63793732716007,96.02635141736572,1
1506556800000,364.517452,-60.44131057996083,54.18905908069068,91.53742414025623,-1
1506643200000,660.408235,-36.7271416825206,54.19322135377463,84.89039477174616,0
1506729600000,292.966693,-1.469976401819622,58.54454080809203,99.8308701673137,1
1506816000000,291.975904,26.167517495046923,58.543659292044566,96.88779870583916,-1
1506902400000,289.541406,47.64387291287676,58.5776911091292,82.80149231118854,1
1506988800000,492.735181,58.343081597354285,56.2861134958839,76.17320657525944,0
1507075200000,292.928777,57.97108747154744,53.04837455449202,66.57071433982274,-1
1507161600000,351.042019,63.707091077008045,55.33584182993051,74.50950685554126,0
1507248000000,226.148177,73.58325240804425,57.37818294003371,81.09097691220354,0
1507334400000,145.313076,84.79012236930521,58.80870439195925,85.23437749635198,0
1507420800000,280.094854,109.91470570226738,64.0328901707329,98.20772470651492,0
1507507200000,350.756559,140.06912619729792,67.0779419161255,90.09260238669911,1
1507593600000,678.832674,161.78784167121285,66.91643666892281,83.72501586659189,-1
1507680000000,540.087975,180.02104790665908,67.74148272136915,86.25283980991877,0
