Open time,rsi,class
1502928000000,52.52874589532705,0
1503014400000,52.52874589532705,-1
1503100800000,52.52874589532705,1
1503187200000,52.52874589532705,0
1503273600000,52.52874589532705,-1
1503360000000,52.52874589532705,0
1503446400000,52.52874589532705,0
1503532800000,52.52874589532705,1
1503619200000,52.52874589532705,-1
1503705600000,52.52874589532705,1
1503792000000,52.52874589532705,-1
1503878400000,52.52874589532705,0
1503964800000,52.52874589532705,1
1504051200000,69.94164204792357,-1
1504137600000,76.10633327400058,0
1504224000000,79.09840527696572,1
1504310400000,54.75204706329225,-1
1504396800000,56.22944847056812,1
1504483200000,40.47336873981056,-1
1504569600000,50.25094891080444,0
1504656000000,57.414561210268666,0
1504742400000,59.20859949082203,1
1504828800000,47.05919606655372,0
1504915200000,46.456757892522695,0
1505001600000,43.26342900130769,-1
1505088000000,45.70726410837564,1
1505174400000,44.52387263544578,0
1505260800000,39.17732722404629,0
1505347200000,27.090532790539385,-1
1505433600000,40.46571930454754,0
1505520000000,40.80785780995781,1
1505606400000,40.55668514209071,-1
1505692800000,48.23996984296487,1
1505779200000,45.85882117350136,0
1505865600000,45.66380787201889,0
1505952000000,40.328957018261576,0
1506038400000,40.08341755181332,-1
1506124800000,44.8029074359221,1
1506211200000,42.45620417587939,-1
1506297600000,48.73968223787526,1
1506384000000,47.90992323182332,-1
1506470400000,54.63793732716007,1
1506556800000,54.18905908069068,-1
1506643200000,54.19322135377463,0
1506729600000,58.54454080809203,1
1506816000000,58.543659292044566,-1
1506902400000,58.5776911091292,1
1506988800000,56.2861134958839,0
1507075200000,53.04837455449202,-1
1507161600000,55.33584182993051,0
1507248000000,57.37818294003371,0
1507334400000,58.80870439195925,0
1507420800000,64.0328901707329,0
1507507200000,67.0779419161255,1
1507593600000,66.91643666892281,-1
1507680000000,67.74148272136915,0
1507766400000,77.37769234347725,0
1507852800000,79.73426842121364,0
1507939200000,81.77867987421584,1
1508025600000,75.79065079871992,-1
1508112000000,76.37321479594762,1
1508198400000,70.35910188945164,0
1508284800000,67.48279196844715,-1
1508371200000,70.20088131485625,0
1508457600000,74.54881594791476,0
1508544000000,74.7309622884609,1
1508630400000,71.95263201721343,0
1508716800000,70.66576867101413,0
1508803200000,56.624317618838326,-1
1508889600000,60.70435775106132,0
1508976000000,63.67267791912985,1
1509062400000,60.988394874198974,0
1509148800000,59.557298052590944,-1
1509235200000,67.15581288600478,1
1509321600000,65.69532858563585,-1
1509408000000,70.48088256684936,0
1509494400000,73.82207454052805,0
1509580800000,76.44662206885853,0
1509667200000,77.32166864211302,0
1509753600000,79.41842747776508,1
1509840000000,79.02573511022334,0
1509926400000,67.5628595912844,-1
1510012800000,68.87558364144863,0
1510099200000,71.71065816657101,1
1510185600000,65.69631651830178,0
1510272000000,53.32171917152421,0
1510358400000,48.7970069171719,0
1510444800000,42.379686228861225,-1
1510531200000,52.52595790697986,0
1510617600000,53.97836809417841,0
1510704000000,61.6814968217938,0
1510790400000,67.22796571697569,1
1510876800000,64.56362921549588,-1
1510963200000,65.12857668322198,0
1511049600000,67.57752400525695,0
1511136000000,69.05276207513424,1
1511222400000,67.29984955977713,-1
1511308800000,68.11423488369263,1
1511395200000,64.39784175830336,-1
1511481600000,65.67784860454157,0
1511568000000,71.02133031335958,0
1511654400000,74.30254398204215,0
1511740800000,77.62929546891708,0
1511827200000,79.01274058525334,1
1511913600000,74.79596960433348,-1
1512000000000,75.80169513518177,0
1512086400000,80.92395234194846,0
1512172800000,81.40451258518377,0
1512259200000,82.61801980203535,0
1512345600000,84.27741395114457,0
1512432000000,84.73647380130457,0
1512518400000,89.69239288521312,0
1512604800000,93.46071912496976,1
1512691200000,85.52063964574447,0
1512777600000,73.9962527149956,-1
1512864000000,74.72715404242355,0
1512950400000,79.10441380214132,1
1513036800000,77.07751917477229,0
1513123200000,74.34735802876318,-1
1513209600000,75.24683255531626,0
1513296000000,78.49054875440595,0
1513382400000,81.8186830894323,1
1513468800000,79.75536231649002,0
1513555200000,79.72172242586717,0
1513641600000,67.10100961699297,0
1513728000000,61.67089611661509,0
1513814400000,55.67469262827107,0
1513900800000,45.35120349975461,0
1513987200000,45.24021998477876,-1
1514073600000,46.30383085226646,0
1514160000000,47.40044113737483,0
1514246400000,56.868748595171056,1
1514332800000,55.62750541094501,0
1514419200000,49.17761922494655,-1
1514505600000,50.136452885772,1
1514592000000,41.77407262783859,-1
1514678400000,47.93090883610088,1
1514764800000,46.53442853091374,-1
1514851200000,52.29742046642404,0
1514937600000,53.319969535570806,0
1515024000000,53.92932600991123,0
1515110400000,61.31220455067805,0
1515196800000,61.692689062570544,1
1515283200000,56.6484793287286,0
1515369600000,50.6048376315345,0
1515456000000,48.36626470551616,-1
1515542400000,50.7344810143168,1
1515628800000,43.64241192251847,-1
1515715200000,46.0810972680155,0
1515801600000,48.33848794629889,1
1515888000000,45.154605341142336,-1
1515974400000,45.4961870370006,1
1516060800000,35.74893240446585,-1
1516147200000,36.243683604264056,1
1516233600000,36.1531245775355,-1
1516320000000,39.27844151907832,0
1516406400000,46.55495715983369,1
1516492800000,41.43031115245925,0
1516579200000,38.65228030235689,-1
1516665600000,38.87659535312394,0
1516752000000,42.08667033126004,1
1516838400000,41.344924136690885,0
1516924800000,40.961054512161326,-1
1517011200000,43.58934653886016,0
1517097600000,46.09001789498766,1
1517184000000,42.78697579392914,0
1517270400000,38.05437515814995,-1
1517356800000,38.39892927828842,1
1517443200000,33.87662887791791,0
1517529600000,32.51011809167326,-1
1517616000000,35.13116886701215,1
1517702400000,31.09320536494134,0
1517788800000,26.99565188601529,-1
1517875200000,32.477853225961454,1
1517961600000,32.28304133979967,-1
1518048000000,33.772566594144536,0
1518134400000,40.6146731865112,1
1518220800000,39.875466935502175,0
1518307200000,37.56688505877985,-1
1518393600000,43.81926578357471,1
1518480000000,41.86549546636997,-1
1518566400000,48.11047324701998,0
1518652800000,51.50176272161363,0
1518739200000,52.4740186201272,0
1518825600000,57.51924490241863,1
1518912000000,52.99945247350776,-1
1518998400000,57.24329339680084,0
1519084800000,57.500998022811686,1
1519171200000,52.11955138865946,0
1519257600000,48.13748976084006,-1
1519344000000,50.22898001441058,1
1519430400000,47.41960910153346,0
1519516800000,46.74551105243909,-1
1519603200000,51.915537469925255,0
1519689600000,53.537225416623976,1
1519776000000,51.681297123153854,-1
1519862400000,55.72826211660426,0
1519948800000,56.51504414762573,0
1520035200000,59.30012501583533,0
1520121600000,59.63073690934277,1
1520208000000,59.00745651060687,0
1520294400000,51.93884331985092,0
1520380800000,45.51770323116606,0
1520467200000,41.17816418979813,0
1520553600000,40.88462473780655,0
1520640000000,37.90689493676351,-1
1520726400000,45.10267334073001,1
1520812800000,42.31967974088822,-1
1520899200000,42.49694462384944,1
1520985600000,36.20403936617596,-1
1521072000000,36.93247946780097,0
1521158400000,37.139606584958216,1
1521244800000,34.35902825761703,-1
1521331200000,38.51866851022487,0
1521417600000,42.89411046863502,0
1521504000000,46.021781842232514,1
1521590400000,45.80406716867461,0
1521676800000,44.33825562241534,-1
1521763200000,46.33635231686353,1
1521849600000,43.002866312264594,0
1521936000000,42.28720906249964,0
1522022400000,39.20989440050398,0
1522108800000,36.33833643688363,-1
1522195200000,38.539194826657,1
1522281600000,31.903542021048068,0
1522368000000,30.27086558148028,-1
1522454400000,31.534312262071623,1
1522540800000,30.73937610444814,-1
1522627200000,34.62788385866192,0
1522713600000,39.854079904660125,1
1522800000000,34.65056070574285,0
1522886400000,34.4490504316321,0
1522972800000,33.06494463541024,-1
1523059200000,37.747165698132456,0
1523145600000,39.63467526110709,1
1523232000000,37.29031387609255,-1
1523318400000,38.31209626253442,0
1523404800000,40.19696198232296,0
1523491200000,53.64889970277254,1
1523577600000,53.04448058670018,-1
1523664000000,54.51638961395823,0
1523750400000,58.60718870166117,1
1523836800000,54.31995376650544,0
1523923200000,51.789679065289455,-1
1524009600000,55.373275843401466,0
1524096000000,56.63886122370852,0
1524182400000,62.88861059133602,0
1524268800000,63.46001473785508,1
1524355200000,61.227133557644734,-1
1524441600000,62.840435755111,0
1524528000000,69.2672725078125,1
1524614400000,57.548207804818894,-1
1524700800000,61.27383135548022,1
1524787200000,56.5420279217585,-1
1524873600000,60.58635107881251,0
1524960000000,61.22409259110034,1
1525046400000,58.73059045862987,0
1525132800000,56.24184368926907,-1
1525219200000,58.17074987590812,0
1525305600000,63.151538985031536,1
1525392000000,62.57610922301229,-1
1525478400000,64.04584491904082,1
1525564800000,60.54657811895737,0
1525651200000,55.834596487317526,0
1525737600000,53.146394472676455,-1
1525824000000,54.764814958507415,1
1525910400000,50.08147741055046,0
1525996800000,42.43539605509722,-1
1526083200000,43.45342692594075,0
1526169600000,46.74175240076244,1
1526256000000,46.51866126208936,0
1526342400000,43.752687042442325,0
1526428800000,41.98992157594572,0
1526515200000,38.35244933070414,-1
1526601600000,42.06768500987946,1
1526688000000,41.98087065531913,-1
1526774400000,47.40860441138906,1
1526860800000,45.14982638657311,0
1526947200000,39.52606401401056,0
1527033600000,34.14143149607428,-1
1527120000000,35.594283554909495,1
1527206400000,34.27887841081382,0
1527292800000,32.913160324580105,-1
1527379200000,33.030627636863144,1
1527465600000,30.304209269847547,-1
1527552000000,38.55021989721848,1
1527638400000,37.4270310053648,-1
1527724800000,39.83941585416894,0
1527811200000,40.65284780716293,0
1527897600000,43.37863320661961,0
1527984000000,45.07305458707854,1
1528070400000,41.02524153947449,-1
1528156800000,44.296584289538565,0
1528243200000,45.100780458786254,0
1528329600000,45.90210765179499,1
1528416000000,44.02107483803592,0
1528502400000,41.67667759924638,0
1528588800000,30.351929324904333,-1
1528675200000,33.22901778229871,1
1528761600000,29.092694320793925,0
1528848000000,26.617683381055897,-1
1528934400000,35.20601021019681,1
1529020800000,32.277219998416726,-1
1529107200000,34.53417229972489,1
1529193600000,34.091875758893465,-1
1529280000000,40.38063501942408,0
1529366400000,41.04326939378984,0
1529452800000,41.53736148180636,1
1529539200000,40.76403486175249,0
1529625600000,30.96104603962941,-1
1529712000000,33.63855919816258,1
1529798400000,33.46534315826595,-1
1529884800000,36.5751176470386,1
1529971200000,33.887885789069315,-1
1530057600000,35.656362355600365,1
1530144000000,31.60969411374409,-1
1530230400000,40.54386966023159,0
1530316800000,44.876384097568106,1
1530403200000,44.27497739196994,-1
