Open time,Close,Volume,Close_MA_14,Close_MA_50,macd,aroon_up,obv,stoch,phase,class
1502928000000,4285.08,1503014399999,22850.72731089017,22683.45871458075,169.2474984742614,51.42740286298569,1503014399999,54.36003370649183,4,0
1503014400000,4108.37,1503100799999,22850.72731089017,22683.45871458075,169.2474984742614,51.42740286298569,-86400000,54.36003370649183,4,-1
1503100800000,4139.98,1503187199999,22850.72731089017,22683.45871458075,169.2474984742614,51.42740286298569,1503100799999,54.36003370649183,4,1
1503187200000,4086.29,1503273599999,22850.72731089017,22683.45871458075,169.2474984742614,51.42740286298569,-172800000,54.36003370649183,4,0
1503273600000,4016.0,1503359999999,22850.72731089017,22683.45871458075,169.2474984742614,51.42740286298569,-1503532799999,54.36003370649183,4,-1
1503360000000,4040.0,1503446399999,22850.72731089017,22683.45871458075,169.2474984742614,51.42740286298569,-86400000,54.36003370649183,4,0
1503446400000,4114.01,1503532799999,22850.72731089017,22683.45871458075,169.2474984742614,51.42740286298569,1503446399999,54.36003370649183,4,0
1503532800000,4316.01,1503619199999,22850.72731089017,22683.45871458075,169.2474984742614,51.42740286298569,3007065599998,54.36003370649183,4,1
1503619200000,4280.68,1503705599999,22850.72731089017,22683.45871458075,169.2474984742614,51.42740286298569,1503359999999,54.36003370649183,4,-1
1503705600000,4337.44,1503791999999,22850.72731089017,22683.45871458075,169.2474984742614,51.42740286298569,3007151999998,54.36003370649183,4,1
1503792000000,4310.01,1503878399999,22850.72731089017,22683.45871458075,169.2474984742614,51.42740286298569,1503273599999,54.36003370649183,4,-1
1503878400000,4386.69,1503964799999,22850.72731089017,22683.45871458075,169.2474984742614,51.42740286298569,3007238399998,54.36003370649183,4,0
1503964800000,4587.48,1504051199999,22850.72731089017,22683.45871458075,169.2474984742614,51.42740286298569,4511289599997,54.36003370649183,4,1
1504051200000,4555.14,1504137599999,4254.512857142857,22683.45871458075,169.2474984742614,51.42740286298569,3007151999998,92.59565053586743,4,-1
1504137600000,4724.89,1504223999999,4285.927857142857,22683.45871458075,169.2474984742614,51.42740286298569,4511375999997,98.47408244265732,4,0
1504224000000,4834.91,1504310399999,4337.823571428571,22683.45871458075,169.2474984742614,51.42740286298569,6015686399996,96.59116152266836,4,1
