Open time,price_normalized,phase,class
1502928000000,0.2962936940101879,3,0
1503014400000,0.3919121894858457,4,-1
1503100800000,0.8664136962562369,3,1
1503187200000,0.3007396615488068,3,0
1503273600000,0.5014194293412889,4,-1
1503360000000,0.9080332567180276,3,0
1503446400000,0.3974435314199525,3,0
1503532800000,0.8058045836676315,6,1
1503619200000,0.1608293368212017,1,-1
1503705600000,0.8087845268128574,6,1
1503792000000,0.2137864756246745,1,-1
1503878400000,0.9523031095611736,2,0
1503964800000,0.8771373679154634,6,1
1504051200000,0.600993520518359,1,-1
1504137600000,0.8921063695606487,2,0
1504224000000,0.7804656002080881,6,1
1504310400000,0.2840170468481734,1,-1
1504396800000,0.5060874576759596,6,1
1504483200000,0.2299181952502784,1,-1
1504569600000,0.865622059207021,2,0
1504656000000,0.8684411342755121,2,0
1504742400000,0.723230593607305,6,1
1504828800000,0.3593550944144044,7,0
1504915200000,0.3932238935493209,7,0
1505001600000,0.6833402489626553,1,-1
1505088000000,0.4651834239130443,6,1
1505174400000,0.3474377455552731,7,0
1505260800000,0.4555972174256253,7,0
1505347200000,0.0288571877227099,1,-1
1505433600000,0.8498556304138595,2,0
1505520000000,0.5096382525973211,6,1
1505606400000,0.8064930374413088,1,-1
1505692800000,0.796421975992614,6,1
1505779200000,0.3054504747934846,7,0
1505865600000,0.353857041755131,7,0
1505952000000,0.1253352769679294,7,0
1506038400000,0.3694825117610954,1,-1
1506124800000,0.8644086335131981,6,1
1506211200000,0.2228069126352918,1,-1
1506297600000,0.818750383223987,6,1
1506384000000,0.2544509216952877,1,-1
1506470400000,0.8490175801447786,6,1
1506556800000,0.3693467336683417,1,-1
1506643200000,0.71406124739458,2,0
1506729600000,0.993840429929724,6,1
1506816000000,0.8315713599231092,1,-1
1506902400000,0.0991915885532906,6,1
1506988800000,0.4509126444002371,7,0
1507075200000,0.2882683982683989,1,-1
1507161600000,0.7446122448979604,2,0
1507248000000,0.616,2,0
1507334400000,0.6615550497184609,2,0
1507420800000,0.9227467811158798,2,0
1507507200000,0.6969527619271726,6,1
1507593600000,0.3667370530761258,1,-1
1507680000000,0.6493211351319883,2,0
1507766400000,0.9841385770763544,2,0
1507852800000,0.5792893444556418,2,0
1507939200000,0.9062158192443508,6,1
1508025600000,0.5935016944609308,1,-1
1508112000000,0.8581877086196771,6,1
1508198400000,0.3242725736812467,7,0
1508284800000,0.8495833706657118,1,-1
1508371200000,0.8812232638572841,2,0
1508457600000,0.8039411764705887,2,0
1508544000000,0.5450353615602715,6,1
1508630400000,0.6765008677236242,7,0
1508716800000,0.6425256552715872,7,0
1508803200000,0.0569052631578942,1,-1
1508889600000,0.9641848892291492,2,0
1508976000000,0.7302665609158957,6,1
1509062400000,0.3615612528721734,7,0
1509148800000,0.4073366971225978,1,-1
1509235200000,0.9632753243397852,6,1
1509321600000,0.4138467166636175,1,-1
1509408000000,0.9120373859953262,2,0
1509494400000,0.9526165120806126,2,0
1509580800000,0.5446088794925994,2,0
1509667200000,0.4536306514858031,2,0
1509753600000,0.7863756271659862,6,1
1509840000000,0.2120296886546922,7,0
1509926400000,0.1093333333333331,1,-1
1510012800000,0.5480520353625334,2,0
1510099200000,0.5826526782363137,6,1
1510185600000,0.1723872679045087,7,0
1510272000000,0.2458483754512629,7,0
1510358400000,0.2078139774778651,7,0
1510444800000,0.372431972658794,1,-1
1510531200000,0.7679351966956728,2,0
1510617600000,0.7058383033350276,2,0
1510704000000,0.919751803991635,2,0
