Open time,macd,aroon_down,aroon_up,stoch,phase,class
1502928000000,0.4958865486608509,0.4059501430322845,0.5138700449530037,0.5432754471770511,2,0
1503014400000,0.4958865486608509,0.4059501430322845,0.5138700449530037,0.5432754471770511,2,-1
1503100800000,0.4958865486608509,0.4059501430322845,0.5138700449530037,0.5432754471770511,2,1
1503187200000,0.4958865486608509,0.4059501430322845,0.5138700449530037,0.5432754471770511,2,0
1503273600000,0.4958865486608509,0.4059501430322845,0.5138700449530037,0.5432754471770511,2,-1
1503360000000,0.4958865486608509,0.4059501430322845,0.5138700449530037,0.5432754471770511,2,0
1503446400000,0.4958865486608509,0.4059501430322845,0.5138700449530037,0.5432754471770511,2,0
1503532800000,0.4958865486608509,0.4059501430322845,0.5138700449530037,0.5432754471770511,2,1
1503619200000,0.4958865486608509,0.4059501430322845,0.5138700449530037,0.5432754471770511,2,-1
1503705600000,0.4958865486608509,0.4059501430322845,0.5138700449530037,0.5432754471770511,2,1
1503792000000,0.4958865486608509,0.4059501430322845,0.5138700449530037,0.5432754471770511,2,-1
1503878400000,0.4958865486608509,0.4059501430322845,0.5138700449530037,0.5432754471770511,2,0
1503964800000,0.4958865486608509,0.4059501430322845,0.5138700449530037,0.5432754471770511,2,1
1504051200000,0.4958865486608509,0.4059501430322845,0.5138700449530037,0.9265917579962748,2,-1
1504137600000,0.4958865486608509,0.4059501430322845,0.5138700449530037,0.985574918951456,2,0
1504224000000,0.4958865486608509,0.4059501430322845,0.5138700449530037,0.9666820186932584,2,1
1504310400000,0.4958865486608509,0.4059501430322845,0.5138700449530037,0.6964204858973905,2,-1
1504396800000,0.4958865486608509,0.4059501430322845,0.5138700449530037,0.7205013024426985,2,1
1504483200000,0.4958865486608509,0.4059501430322845,0.5138700449530037,0.4538978497482021,2,-1
1504569600000,0.4958865486608509,0.4059501430322845,0.5138700449530037,0.5708141901841189,2,0
1504656000000,0.4958865486608509,0.4059501430322845,0.5138700449530037,0.7610242682237651,2,0
1504742400000,0.4958865486608509,0.4059501430322845,0.5138700449530037,0.8149709401794226,2,1
