Open time,aroon_up,stoch,class
1502928000000,0.5138700449530037,0.5432754471770511,0
1503014400000,0.5138700449530037,0.5432754471770511,-1
1503100800000,0.5138700449530037,0.5432754471770511,1
1503187200000,0.5138700449530037,0.5432754471770511,0
1503273600000,0.5138700449530037,0.5432754471770511,-1
1503360000000,0.5138700449530037,0.5432754471770511,0
1503446400000,0.5138700449530037,0.5432754471770511,0
1503532800000,0.5138700449530037,0.5432754471770511,1
1503619200000,0.5138700449530037,0.5432754471770511,-1
1503705600000,0.5138700449530037,0.5432754471770511,1
1503792000000,0.5138700449530037,0.5432754471770511,-1
1503878400000,0.5138700449530037,0.5432754471770511,0
1503964800000,0.5138700449530037,0.5432754471770511,1
1504051200000,0.5138700449530037,0.9265917579962748,-1
1504137600000,0.5138700449530037,0.985574918951456,0
1504224000000,0.5138700449530037,0.9666820186932584,1
1504310400000,0.5138700449530037,0.6964204858973905,-1
1504396800000,0.5138700449530037,0.7205013024426985,1
1504483200000,0.5138700449530037,0.4538978497482021,-1
1504569600000,0.5138700449530037,0.5708141901841189,0
1504656000000,0.5138700449530037,0.7610242682237651,0
1504742400000,0.5138700449530037,0.8149709401794226,1
1504828800000,0.5138700449530037,0.5079840392580344,0
1504915200000,0.5138700449530037,0.4899692750568064,0
1505001600000,0.5138700449530037,0.3935200748064619,-1
1505088000000,0.64,0.452167556428635,1
1505174400000,0.6,0.4185635256656102,0
1505260800000,0.56,0.2540877523019161,0
1505347200000,0.52,0.0110149798696137,-1
1505433600000,0.48,0.4149901758568585,0
1505520000000,0.44,0.4544883050518606,1
1505606400000,0.4,0.4468748543853202,-1
1505692800000,0.36,0.6173733999938994,1
1505779200000,0.32,0.5537736052213361,0
1505865600000,0.28,0.5486640434103692,0
1505952000000,0.24,0.4122636147718565,0
1506038400000,0.2,0.4830243092594163,-1
1506124800000,0.16,0.6099927072511357,1
1506211200000,0.12,0.5336827405505353,-1
1506297600000,0.08,0.6995128590523487,1
1506384000000,0.04,0.7902719599562792,-1
1506470400000,0.0,0.9610148125610076,1
1506556800000,0.16,0.9159736988252124,-1
1506643200000,0.12,0.8492785649301009,0
1506729600000,0.08,0.9991886904494272,1
1506816000000,0.04,0.9696584244759036,-1
1506902400000,0.0,0.8283188818029679,1
1506988800000,0.0,0.761811818249563,0
1507075200000,0.92,0.6654620851788376,-1
1507161600000,0.88,0.7451185452976586,0
1507248000000,0.84,0.8111558684867614,0
1507334400000,0.8,0.852730027621672,0
1507420800000,1.0,0.9829023318616236,0
