n_components,n_iter,covariance_type,bic
3,100,spherical,109352.81890404064
3,100,tied,-86359.92814293312
3,100,diag,67646.71226393801
3,100,full,-156427.68061555494
3,110,spherical,109352.81914081544
3,110,tied,-82210.46564796397
3,110,diag,68198.5393701969
3,110,full,-149049.62997120712
3,120,spherical,109352.8190966839
3,120,tied,-87039.00781387859
3,120,diag,66030.76827755646
3,120,full,-145976.5812271765
3,130,spherical,109352.81940064592
3,130,tied,-87039.00496444358
3,130,diag,66031.01439908413
3,130,full,-175826.82713365823
3,140,spherical,109352.81916670372
3,140,tied,-87891.36548502366
3,140,diag,68198.50975055943
3,140,full,-176324.26519695617
4,10,spherical,102128.4141765624
4,10,tied,-89395.52551172623
4,10,diag,56635.77192999902
4,10,full,-156074.44373768428
4,20,spherical,102109.18517449012
4,20,tied,-86618.59951560355
4,20,diag,53931.648462577024
4,20,full,-186711.6360108668
4,30,spherical,102116.53573313668
4,30,tied,-90340.36112959609
4,30,diag,57558.95469771743
4,30,full,-172560.0520965433
4,40,spherical,102132.32899278244
4,40,tied,-93642.82753574567
4,40,diag,57559.759994661385
4,40,full,-149210.95488949373
4,50,spherical,102132.6243039998
4,50,tied,-86526.71980067801
4,50,diag,57479.5317809795
4,50,full,-190945.13647112745
4,60,spherical,102131.95579933634
4,60,tied,-85250.70399004227
4,60,diag,57431.579683406846
4,60,full,-161528.91726357766
4,70,spherical,102113.04533519948
4,70,tied,-90367.04759116194
4,70,diag,57432.04753619868
4,70,full,-134985.241776535
4,80,spherical,102114.24022049502
4,80,tied,-88638.95265761587
4,80,diag,56635.7930615064
4,80,full,-177675.81972738076
4,90,spherical,102111.99651023388
4,90,tied,-86616.98061034098
4,90,diag,56599.661856083934
4,90,full,-178244.12941285275
4,100,spherical,102108.99307395265
4,100,tied,-85271.7716639198
4,100,diag,56635.81543350045
4,100,full,-180522.2656716897
4,110,spherical,102109.07398213458
4,110,tied,-90375.05491977296
4,110,diag,57431.472223508725
4,110,full,-168494.76916416292
4,120,spherical,102112.32093566594
4,120,tied,-90343.0987439872
4,120,diag,57559.21512597065
4,120,full,-164544.69131057494
4,130,spherical,102110.57811114418
4,130,tied,-90340.598749633
4,130,diag,56455.15897501789
4,130,full,-143399.25782886206
4,140,spherical,102109.12772726345
4,140,tied,-90367.79896330569
4,140,diag,57430.94857135778
4,140,full,-179692.10756865476
5,10,spherical,89725.4786324068
5,10,tied,-92387.8036647774
5,10,diag,45310.73424932513
5,10,full,-182945.74368607195
5,20,spherical,89707.7403333529
5,20,tied,-89822.43981702255
5,20,diag,45131.59476409532
5,20,full,-192103.79355774907
5,30,spherical,89841.87204336525
5,30,tied,-93242.48571077712
5,30,diag,44187.76168239593
5,30,full,-187084.66473666253
5,40,spherical,89727.24112624476
5,40,tied,-92922.83890224653
5,40,diag,44050.48768772792
5,40,full,-186266.71578549768
5,50,spherical,89759.31571458308
5,50,tied,-91783.52230229486
5,50,diag,46890.55391692479
5,50,full,-200689.20295107248
5,60,spherical,89713.41778014845
5,60,tied,-86979.40072871452
5,60,diag,44187.81613373658
5,60,full,-188190.48712672305
5,70,spherical,89866.57052500379
5,70,tied,-93060.07168033908
5,70,diag,44038.16846599782
5,70,full,-193311.9338645903
5,80,spherical,89867.76885425957
5,80,tied,-91813.22385963822
5,80,diag,42681.25857846074
5,80,full,-186451.3532345417
5,90,spherical,89712.78064197647
5,90,tied,-89826.76731666192
5,90,diag,44036.37794847597
5,90,full,-191474.495173818
5,100,spherical,89844.4239451438
5,100,tied,-96353.52937451372
5,100,diag,41696.7714453269
5,100,full,-183783.17574302264
5,110,spherical,89708.09295415411
5,110,tied,-91063.77243442464
5,110,diag,44036.79622402704
5,110,full,-193543.825106908
5,120,spherical,89711.80727395297
5,120,tied,-88250.46106855912
5,120,diag,43155.52067858779
5,120,full,-169334.3662153371
5,130,spherical,89758.05968673422
5,130,tied,-91707.78617128334
5,130,diag,40892.674300130944
5,130,full,-178432.30581425567
5,140,spherical,89721.12029676336
5,140,tied,-92740.16679006066
5,140,diag,44053.416196404345
5,140,full,-186553.0606459333
6,10,spherical,83978.42008144585
6,10,tied,-96616.4171824752
6,10,diag,37006.6199864602
6,10,full,-194321.15980269443
6,20,spherical,83842.88347718415
6,20,tied,-95430.54024319354
6,20,diag,33985.29222378679
6,20,full,-203745.9931098959
6,30,spherical,83840.08335460526
6,30,tied,-96739.18378319188
6,30,diag,34064.02095841636
6,30,full,-203915.19987465063
6,40,spherical,83840.85442927755
6,40,tied,-90094.81893524206
6,40,diag,36964.4452178931
6,40,full,-200771.82929015323
6,50,spherical,83838.9478832895
6,50,tied,-95835.537739892
6,50,diag,33149.575932252395
6,50,full,-204102.5181946757
6,60,spherical,83846.13375686579
6,60,tied,-96752.46532243388
6,60,diag,37250.57085968874
6,60,full,-181586.1222652113
6,70,spherical,83844.73602282732
6,70,tied,-98653.41507770722
6,70,diag,32539.16823803856
6,70,full,-189086.7235389161
6,80,spherical,83847.08108082176
6,80,tied,-94975.15059868492
6,80,diag,33845.03538063795
6,80,full,-198228.2395431166
6,90,spherical,83976.17827052274
6,90,tied,-92822.70581356827
6,90,diag,33585.85073597328
6,90,full,-193681.5951937381
6,100,spherical,83971.09337816267
6,100,tied,-94963.80398502055
6,100,diag,32797.25187341697
6,100,full,-201117.20282395216
6,110,spherical,83846.16617411765
6,110,tied,-94366.35642732448
6,110,diag,37457.96382586264
6,110,full,-180282.5495178349
6,120,spherical,83966.54928166867
6,120,tied,-95481.70089922914
6,120,diag,33580.28039215123
6,120,full,-172833.2203124464
6,130,spherical,83840.79872443397
6,130,tied,-94965.34341643064
6,130,diag,33888.97633093848
6,130,full,-197378.97984719937
6,140,spherical,83973.86575513058
6,140,tied,-96748.5082561131
6,140,diag,36928.47272438144
6,140,full,-204901.817713498
7,10,spherical,81188.72656594064
7,10,tied,-94294.76624160404
7,10,diag,28227.07698869839
7,10,full,-202967.8953960624
7,20,spherical,81201.74409937747
7,20,tied,-98496.9270665203
7,20,diag,24837.20514704264
7,20,full,-215795.8425434993
7,30,spherical,81056.5240667492
7,30,tied,-97781.73568260053
7,30,diag,27143.860205441564
7,30,full,-199305.79959003127
7,40,spherical,81095.62006007117
7,40,tied,-91730.23865220918
7,40,diag,27767.8190497244
7,40,full,-206256.906966722
7,50,spherical,81038.07650621391
7,50,tied,-95530.71842283668
7,50,diag,23637.316258090417
7,50,full,-200289.54515982163
7,60,spherical,81067.06333886272
7,60,tied,-94203.99151215516
7,60,diag,23519.497374635204
7,60,full,-189634.4470334358
7,70,spherical,81072.16787492656
7,70,tied,-99752.65248686148
7,70,diag,25393.43421314621
7,70,full,-203880.8196816677
7,80,spherical,81045.46385035568
7,80,tied,-98835.65048106753
7,80,diag,27591.022504694964
7,80,full,-207385.8508397998
7,90,spherical,81242.45200487922
7,90,tied,-99759.588870204
7,90,diag,23519.42432443436
7,90,full,-207759.71031481685
7,100,spherical,81246.02363633172
7,100,tied,-98865.11401247668
7,100,diag,27344.17191724567
7,100,full,-206592.96179438333
7,110,spherical,81044.60479576189
7,110,tied,-96445.68682812624
7,110,diag,27910.547787784413
7,110,full,-181698.81573505385
7,120,spherical,81068.577739259
7,120,tied,-99748.56103854306
7,120,diag,24017.90529709665
7,120,full,-210011.5328293654
7,130,spherical,81047.06697032506
7,130,tied,-95659.01275700294
7,130,diag,27238.134594632287
7,130,full,-203783.62318602853
7,140,spherical,81063.47702127401
7,140,tied,-99174.0157472296
7,140,diag,27238.55212555332
7,140,full,-201216.0268839805
8,10,spherical,78439.04860904579
8,10,tied,-96882.6746517044
8,10,diag,27367.50548062374
8,10,full,-205291.1787407197
8,20,spherical,77936.08338845824
8,20,tied,-99774.64664246642
8,20,diag,26617.715145698014
8,20,full,-199996.87366872345
8,30,spherical,78071.56085502809
8,30,tied,-99039.24968193474
8,30,diag,21073.01399626368
8,30,full,-179019.65250446048
8,40,spherical,77930.53700027954
8,40,tied,-92373.2810276569
8,40,diag,23335.190103981546
8,40,full,-198037.87408166728
8,50,spherical,78752.92021067716
8,50,tied,-89809.99672421717
8,50,diag,28145.79183921864
8,50,full,-208895.8691958444
8,60,spherical,77942.26089099895
8,60,tied,-95427.70507290226
8,60,diag,23329.83853709173
8,60,full,-203082.73126185272
8,70,spherical,78722.89872587327
8,70,tied,-95592.8672670263
8,70,diag,28375.450031452845
8,70,full,-210340.5064348584
8,80,spherical,78094.74644497522
8,80,tied,-99635.52691177088
8,80,diag,19521.51510054801
8,80,full,-212055.2282005376
8,90,spherical,78454.90068251862
8,90,tied,-91912.94806469866
8,90,diag,26668.54129396672
8,90,full,-211603.2710317068
8,100,spherical,78738.16685065761
8,100,tied,-98263.5783333839
8,100,diag,20572.018952264847
8,100,full,-202353.3018144373
8,110,spherical,78422.476725143
8,110,tied,-100914.66934170685
8,110,diag,20152.41962166914
8,110,full,-205304.8953810413
8,120,spherical,78751.75906314414
8,120,tied,-93452.11743495072
8,120,diag,20571.938333471448
8,120,full,-205785.7223721693
8,130,spherical,77597.9510426437
8,130,tied,-97041.7685410646
8,130,diag,19317.88514048964
8,130,full,-216223.0551108505
8,140,spherical,77931.89655580606
8,140,tied,-99551.16022842616
8,140,diag,19955.31075661877
8,140,full,-208768.52095441183
9,10,spherical,72593.71897559921
9,10,tied,-99749.37320914096
9,10,diag,22964.880079041373
9,10,full,-208871.9225514434
9,20,spherical,75801.70573737356
9,20,tied,-98813.85190920296
9,20,diag,19108.268538335364
9,20,full,-196555.97118490265
9,30,spherical,72993.9279476823
9,30,tied,-102041.4819654654
9,30,diag,19848.095012283087
9,30,full,-214037.78482836275
9,40,spherical,75207.69942771377
9,40,tied,-106215.80638482288
9,40,diag,16777.064699560073
9,40,full,-214985.84886332552
9,50,spherical,75396.69775646101
9,50,tied,-97560.01598481768
9,50,diag,17061.449701127192
9,50,full,-202360.27131198536
9,60,spherical,75765.54509486242
9,60,tied,-100005.40020572772
9,60,diag,15880.70224169971
9,60,full,-208500.54545501407
9,70,spherical,74463.31868935148
9,70,tied,-100795.63087945852
9,70,diag,15993.263019806542
9,70,full,-210479.5236208896
9,80,spherical,73097.59110864537
9,80,tied,-101825.00502614524
9,80,diag,17233.838652236165
9,80,full,-213431.1852818025
9,90,spherical,73417.52542701349
9,90,tied,-92006.3797561442
9,90,diag,20388.069305593217
9,90,full,-205545.8168573808
9,100,spherical,88088.80707859229
9,100,tied,-96424.13327758794
9,100,diag,15926.77529419856
9,100,full,-205350.2521677711
9,110,spherical,75769.99495704792
9,110,tied,-98548.63207332332
9,110,diag,19072.9861239358
9,110,full,-217402.5245942255
9,120,spherical,75339.8288643408
9,120,tied,-93212.2322730338
9,120,diag,18363.163962915005
9,120,full,-214260.9854024188
9,130,spherical,75265.82625136312
9,130,tied,-101568.19617442532
9,130,diag,20961.697624984947
9,130,full,-197045.8655607944
9,140,spherical,75227.65530603199
9,140,tied,-98247.77907447016
9,140,diag,23479.914517075256
9,140,full,-218672.9158776131
2,210,spherical,113593.55700963717
2,210,tied,-68452.51384369623
2,210,diag,82272.76049375879
2,210,full,-86370.67443933104
2,310,spherical,113593.55941593093
2,310,tied,-68451.53887614557
2,310,diag,82272.76174303395
2,310,full,-104457.2377841608
2,410,spherical,113593.55308326622
2,410,tied,-68452.69312028514
2,410,diag,82272.77373668316
2,410,full,-125023.71130299816
2,510,spherical,113593.55240835884
2,510,tied,-72996.65012207763
2,510,diag,82272.77367679238
2,510,full,-103751.65357305737
2,610,spherical,113593.55654381636
2,610,tied,-72437.35127910395
2,610,diag,82272.75588021104
2,610,full,-102820.19351224984
2,710,spherical,113593.5548985605
2,710,tied,-73814.02884073506
2,710,diag,82272.76341794974
2,710,full,-104453.63792781428
2,810,spherical,113593.55229309254
2,810,tied,-72437.23013537037
2,810,diag,82272.76145849672
2,810,full,-107036.60239673471
2,910,spherical,113593.55548713748
2,910,tied,-73342.65900871764
2,910,diag,82272.76198789186
2,910,full,-103801.43883371614
2,1010,spherical,113593.59189116064
2,1010,tied,-73814.09050208658
2,1010,diag,82272.76117479624
2,1010,full,-104428.61749370414
2,1110,spherical,113593.58801259524
2,1110,tied,-73779.88773116581
2,1110,diag,82272.7622209006
2,1110,full,-126791.04787938192
2,1210,spherical,113593.55414019506
2,1210,tied,-68452.64546966046
2,1210,diag,82272.7650703093
2,1210,full,-102820.17813281364
3,210,spherical,104829.0114135874
3,210,tied,-77290.25362148596
3,210,diag,64002.79247109991
3,210,full,-115011.02073910482
3,310,spherical,104822.81099653576
3,310,tied,-77453.64182636367
3,310,diag,63985.76255230302
3,310,full,-126985.23021444096
3,410,spherical,104822.77463844971
3,410,tied,-78885.19399187485
3,410,diag,64002.79281602886
3,410,full,-129216.3111659532
3,510,spherical,104824.69839002712
3,510,tied,-78048.60855380987
3,510,diag,64002.78996484583
3,510,full,-114476.53823984312
3,610,spherical,104824.49245861315
3,610,tied,-73416.38477988672
3,610,diag,60856.678127766005
3,610,full,-127517.44145843748
3,710,spherical,104822.77477313776
3,710,tied,-73553.19752411295
3,710,diag,60856.65048173882
3,710,full,-152365.96397048037
3,810,spherical,104827.65192302574
3,810,tied,-78048.59669754546
3,810,diag,60856.40998703292
3,810,full,-130463.24002538982
3,910,spherical,104822.74188326184
3,910,tied,-78885.19903908022
3,910,diag,64002.78829717045
3,910,full,-119612.23695755276
3,1010,spherical,104823.5482102866
3,1010,tied,-73416.26147940551
3,1010,diag,60856.66511815633
3,1010,full,-154021.5055937952
3,1110,spherical,104807.04498063962
3,1110,tied,-78048.51914263878
3,1110,diag,63180.842845855856
3,1110,full,-145204.64917815276
3,1210,spherical,104822.8432198257
3,1210,tied,-77454.3123154231
3,1210,diag,60856.823103073046
3,1210,full,-115011.0203341987
4,210,spherical,97064.1093014355
4,210,tied,-83074.6749376329
4,210,diag,49378.60532859478
4,210,full,-168168.22138098627
4,310,spherical,97096.92839075957
4,310,tied,-76287.62039967642
4,310,diag,51429.56320448627
4,310,full,-140355.54428956768
4,410,spherical,97084.17409662568
4,410,tied,-79449.80045862001
4,410,diag,52413.25722206738
4,410,full,-175237.75039276047
4,510,spherical,97066.8602683426
4,510,tied,-79087.27116806242
4,510,diag,52414.7418870289
4,510,full,-140457.961126786
4,610,spherical,97059.99506852102
4,610,tied,-80567.06442988323
4,610,diag,51434.16125552162
4,610,full,-164110.7081172739
4,710,spherical,97097.5805160247
4,710,tied,-80597.27044050017
4,710,diag,51866.338311635634
4,710,full,-140101.45204377928
4,810,spherical,97060.38848449277
4,810,tied,-83086.47995902943
4,810,diag,49277.82456955524
4,810,full,-130089.86101113776
4,910,spherical,97059.65797693332
4,910,tied,-78956.58547907887
4,910,diag,52035.89757104961
4,910,full,-159842.4445699646
4,1010,spherical,97060.52839999174
4,1010,tied,-83224.5363049031
4,1010,diag,49301.51958177412
4,1010,full,-142762.7226020044
4,1110,spherical,97096.3997469876
4,1110,tied,-80558.06883924648
4,1110,diag,52419.42321232313
4,1110,full,-136799.61755277042
4,1210,spherical,97059.77241417508
4,1210,tied,-75597.0289483236
4,1210,diag,49300.91223033989
4,1210,full,-126970.94356144962
5,210,spherical,85357.15519493292
5,210,tied,-80145.60826680981
5,210,diag,41009.39437057362
5,210,full,-169072.58876056087
5,310,spherical,85358.05226039511
5,310,tied,-81547.5150331927
5,310,diag,37869.83759663144
5,310,full,-166926.93509975693
5,410,spherical,85390.06794675012
5,410,tied,-82451.82995112885
5,410,diag,40984.089619374005
5,410,full,-148173.20467663137
5,510,spherical,85508.84238281583
5,510,tied,-79717.68681894589
5,510,diag,37080.94635265602
5,510,full,-168737.55778064212
5,610,spherical,85399.66311241877
5,610,tied,-81523.38188677534
5,610,diag,40004.33050177048
5,610,full,-169144.4924426141
5,710,spherical,85332.46032474154
5,710,tied,-86179.66329311517
5,710,diag,36290.28705589759
5,710,full,-170494.37329014373
5,810,spherical,85356.68340000862
5,810,tied,-86225.29055794062
5,810,diag,39109.18920349518
5,810,full,-188895.397409109
5,910,spherical,85399.5097831104
5,910,tied,-81595.71240566568
5,910,diag,41054.10942385077
5,910,full,-173101.93402379687
5,1010,spherical,85399.63539419981
5,1010,tied,-80114.10389048506
5,1010,diag,39111.00551014921
5,1010,full,-157486.90131967253
5,1110,spherical,85354.0939808945
5,1110,tied,-79196.62063810292
5,1110,diag,41004.642714713314
5,1110,full,-184081.6915633689
5,1210,spherical,85479.88401064863
5,1210,tied,-85571.08523274424
5,1210,diag,40005.92717110323
5,1210,full,-190207.17203416093
6,210,spherical,80375.14387591559
6,210,tied,-87988.78122144898
6,210,diag,37136.860250738384
6,210,full,-166064.2928075779
6,310,spherical,80513.50973494486
6,310,tied,-83960.1496678855
6,310,diag,37301.68157373159
6,310,full,-168974.23717213477
6,410,spherical,80392.58076870468
6,410,tied,-82531.07389728318
6,410,diag,38825.802024184304
6,410,full,-182072.7581390336
6,510,spherical,80409.74186242309
6,510,tied,-80662.27869685432
6,510,diag,32104.74985729771
6,510,full,-177860.0034769707
6,610,spherical,80559.4696759296
6,610,tied,-84562.22333307624
6,610,diag,38820.25273212938
6,610,full,-184364.08161786915
6,710,spherical,80406.62153349572
6,710,tied,-85886.99693533452
6,710,diag,31750.987794373897
6,710,full,-172461.18657229064
6,810,spherical,80563.02862675571
6,810,tied,-86177.69463534659
6,810,diag,29927.36428603643
6,810,full,-160618.14636926784
6,910,spherical,80409.35149907455
6,910,tied,-81157.19186377994
6,910,diag,30447.89361989085
6,910,full,-180557.1889825024
6,1010,spherical,80384.85292462491
6,1010,tied,-81692.690928238
6,1010,diag,31805.85224813358
6,1010,full,-144424.60582019528
6,1110,spherical,80383.50724235727
6,1110,tied,-85492.65975173522
6,1110,diag,31537.11490402631
6,1110,full,-170043.9426953278
6,1210,spherical,80557.40062386259
6,1210,tied,-87695.04272088445
6,1210,diag,36853.57887929198
6,1210,full,-178913.1623443815
7,210,spherical,77144.27117256507
7,210,tied,-82835.94233315061
7,210,diag,28706.99914902712
7,210,full,-184379.8335877297
7,310,spherical,77137.79972224872
7,310,tied,-89300.74352333965
7,310,diag,28064.72787223021
7,310,full,-163216.14293371985
7,410,spherical,77145.34734493266
7,410,tied,-83574.32150948541
7,410,diag,25585.0120295094
7,410,full,-174526.06777485006
7,510,spherical,77162.43899421023
7,510,tied,-88748.31518100986
7,510,diag,24546.28783842954
7,510,full,-179936.40852970825
7,610,spherical,77204.78442825342
7,610,tied,-85750.42011068125
7,610,diag,25821.48997722939
7,610,full,-189298.7479528534
7,710,spherical,77146.16171475488
7,710,tied,-85928.65439946749
7,710,diag,25711.865272557985
7,710,full,-172589.05247136665
7,810,spherical,77268.36302945345
7,810,tied,-88011.06139330595
7,810,diag,25710.762500826448
7,810,full,-186139.37686731192
7,910,spherical,77162.01202263184
7,910,tied,-82347.99737001504
7,910,diag,28549.01518083287
7,910,full,-165197.17348927862
7,1010,spherical,77069.17890362148
7,1010,tied,-83512.5850904283
7,1010,diag,23744.025671709947
7,1010,full,-174008.68843929388
7,1110,spherical,77161.21390379404
7,1110,tied,-87889.71305969506
7,1110,diag,22767.254545475807
7,1110,full,-162821.02930696085
7,1210,spherical,77076.26587721676
7,1210,tied,-82529.97460007537
7,1210,diag,25025.623087849035
7,1210,full,-178786.56775563554
8,210,spherical,74770.41289611573
8,210,tied,-86411.93440453534
8,210,diag,21886.07642874193
8,210,full,-181910.4304934468
8,310,spherical,74614.90689631733
8,310,tied,-92133.48581167316
8,310,diag,17789.264260929063
8,310,full,-162632.74430005185
8,410,spherical,74774.8073585504
8,410,tied,-85396.10231204554
8,410,diag,22077.904347751013
8,410,full,-171855.18724069136
8,510,spherical,74588.68003905313
8,510,tied,-86782.23617205146
8,510,diag,22237.323316563685
8,510,full,-179895.89458072773
8,610,spherical,74589.04775961145
8,610,tied,-89265.68690611144
8,610,diag,21032.878160207143
8,610,full,-180786.0988783051
8,710,spherical,74768.55350528324
8,710,tied,-88359.54538640424
8,710,diag,21656.619764290062
8,710,full,-186362.46492435472
8,810,spherical,74768.96061902306
8,810,tied,-87485.71549432239
8,810,diag,21548.92177337777
8,810,full,-188541.7241718353
8,910,spherical,74781.04151408479
8,910,tied,-94128.82059783576
8,910,diag,21134.46343767352
8,910,full,-195662.82969829827
8,1010,spherical,74595.87991426233
8,1010,tied,-87544.93734005112
8,1010,diag,21706.006477376533
8,1010,full,-152574.48003622584
8,1110,spherical,74570.76185138496
8,1110,tied,-88849.22605548483
8,1110,diag,21638.00651342976
8,1110,full,-176966.44637116673
8,1210,spherical,74779.14592219958
8,1210,tied,-86872.74480108492
8,1210,diag,25569.019579420463
8,1210,full,-180802.3437606182
9,210,spherical,70114.38162728812
9,210,tied,-90417.43558196748
9,210,diag,17820.654663909765
9,210,full,-193880.35259749627
9,310,spherical,75128.44729721868
9,310,tied,-87378.71720316286
9,310,diag,12640.554025967263
9,310,full,-188893.53252868413
9,410,spherical,70125.37506830295
9,410,tied,-84981.07860894133
9,410,diag,13941.194419733358
9,410,full,-190458.2953211761
9,510,spherical,69544.71978953501
9,510,tied,-93686.09002906106
9,510,diag,13621.551412519968
9,510,full,-172709.72592332162
9,610,spherical,75053.5306353941
9,610,tied,-88829.052182819
9,610,diag,12972.706197706832
9,610,full,-175188.07652442157
9,710,spherical,69564.03710725109
9,710,tied,-90319.85598566548
9,710,diag,17554.055300224827
9,710,full,-183975.1737802697
9,810,spherical,69583.78413165608
9,810,tied,-88425.50557462138
9,810,diag,14133.04617180125
9,810,full,-172874.61734506243
9,910,spherical,75040.54152312294
9,910,tied,-89327.13286069936
9,910,diag,22034.634260482675
9,910,full,-194094.48144341985
9,1010,spherical,69557.69784269152
9,1010,tied,-93027.41560858526
9,1010,diag,14941.486116563528
9,1010,full,-191346.8693102683
9,1110,spherical,70102.20047712648
9,1110,tied,-86397.57996171441
9,1110,diag,14500.072375588144
9,1110,full,-191305.971444499
9,1210,spherical,69477.10013158704
9,1210,tied,-89662.0769314986
9,1210,diag,18704.50516271977
9,1210,full,-193644.4653320601
